,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner
40,33785.0,27180.0,18655.0,14336.0,13605.0,32427.0,27667.0,23215.0,17242.0,15891.0,169,-1945,-5276,-3692,-2855,-13599,dire
41,29867.0,22491.0,22724.0,20082.0,14826.0,30684.0,29974.0,21493.0,17083.0,14933.0,59,-6942,1400,3714,239,-1530,dire
42,33845.0,22446.0,21357.0,15764.0,12899.0,29345.0,29083.0,23347.0,15951.0,15016.0,3819,-6865,-2119,-977,-2607,-8749,dire
43,35735.0,28025.0,18064.0,15840.0,15573.0,34944.0,22459.0,18157.0,16635.0,13886.0,2331,6084,771,37,2599,11822,radiant
44,24491.0,26915.0,21888.0,15833.0,13268.0,26423.0,26340.0,26465.0,15497.0,15883.0,-1689,-293,-4506,446,-2807,-8849,dire
45,31780.0,26354.0,20674.0,13180.0,12498.0,31398.0,23466.0,22059.0,15003.0,12789.0,-101,2371,-942,-1923,-305,-900,dire
46,35362.0,25853.0,23778.0,16831.0,15505.0,26104.0,24653.0,19743.0,19821.0,14624.0,9194,1288,4382,-2998,1172,13038,dire
47,28866.0,27515.0,26084.0,16042.0,13959.0,32349.0,21236.0,20511.0,12957.0,11916.0,-3539,5860,5397,3244,1944,12906,radiant
48,33432.0,22437.0,22800.0,11220.0,10712.0,28471.0,26639.0,21669.0,19625.0,12388.0,5028,-3864,1317,-8217,-1627,-7363,dire
49,30358.0,27357.0,19047.0,16218.0,10539.0,33942.0,28004.0,22083.0,23658.0,15584.0,-4122,-18,-2074,-6785,-5298,-18297,dire
50,26453.0,24691.0,22694.0,16835.0,11232.0,25204.0,22074.0,17582.0,13582.0,9770.0,1008,2263,4915,3045,1067,12298,radiant
51,37570.0,29697.0,27526.0,23626.0,21344.0,28704.0,25638.0,20847.0,17351.0,15279.0,9529,5655,7947,6881,6041,36053,radiant
52,30047.0,27310.0,21384.0,14982.0,12642.0,32363.0,25482.0,19320.0,15608.0,14190.0,-2975,1220,2370,-762,-1801,-1948,radiant
53,28706.0,26778.0,28702.0,14574.0,13197.0,28670.0,21185.0,21122.0,11125.0,10557.0,276,5959,7864,3201,2628,19928,radiant
54,24143.0,23825.0,20425.0,13507.0,11697.0,30442.0,23656.0,21969.0,18116.0,13468.0,-5718,-61,-1459,-4597,-1664,-13499,dire
55,29307.0,28715.0,26812.0,18304.0,14936.0,28510.0,27442.0,17221.0,18323.0,11433.0,244,1351,9708,334,3170,14807,dire
56,34909.0,27192.0,25770.0,19715.0,14426.0,23906.0,23681.0,22929.0,16362.0,12233.0,11091,3762,2450,3944,2083,23330,radiant
57,28377.0,26847.0,25946.0,18610.0,15993.0,24957.0,25881.0,22275.0,14504.0,11559.0,3022,386,3433,4249,4476,15566,radiant
58,32704.0,25880.0,21362.0,15917.0,12958.0,30696.0,26223.0,19704.0,21839.0,18371.0,2249,-632,2249,-6608,-5767,-8509,dire
59,37319.0,29716.0,21729.0,16983.0,11619.0,27684.0,26453.0,28024.0,15466.0,15684.0,7519,3092,-6883,527,-4534,-279,radiant
60,38669.0,28839.0,19846.0,20948.0,20627.0,24920.0,25026.0,22740.0,17790.0,13906.0,13485,3887,-3026,2917,6945,24208,radiant
61,29324.0,20891.0,20659.0,13524.0,11038.0,35181.0,27317.0,20448.0,13492.0,13492.0,-6767,-6754,280,-388,-2835,-16464,dire
62,25172.0,21949.0,20335.0,16417.0,11979.0,36007.0,24041.0,21121.0,16502.0,13750.0,-12402,-2053,-471,-232,-1908,-17066,dire
63,35853.0,26560.0,22872.0,18142.0,13228.0,33885.0,25952.0,23757.0,17404.0,13021.0,2335,713,-1391,1022,358,3037,radiant
64,31558.0,25800.0,22644.0,19361.0,13474.0,26320.0,25890.0,20146.0,17198.0,13663.0,6759,466,3431,3109,-57,13708,radiant
65,25682.0,27136.0,26322.0,15501.0,10576.0,30769.0,28042.0,21254.0,17140.0,16018.0,-5318,-1209,4895,-2064,-5303,-8999,dire
66,38386.0,23607.0,20433.0,17535.0,17835.0,38193.0,30290.0,27641.0,15729.0,12609.0,-862,-8073,-7706,1084,4480,-11077,dire
67,36606.0,27823.0,19107.0,12118.0,13893.0,32957.0,26346.0,26855.0,15002.0,14335.0,3888,2100,-7308,-2302,-484,-4106,radiant
68,28847.0,23992.0,23588.0,14661.0,10079.0,28149.0,25882.0,25661.0,15654.0,12716.0,1117,-1435,-1757,-171,-2291,-4537,dire
69,28415.0,24889.0,20471.0,16300.0,13749.0,41012.0,25281.0,22724.0,18599.0,14705.0,-11280,464,-1935,-1816,-203,-14770,dire
70,34555.0,24913.0,19331.0,14609.0,11427.0,29871.0,24793.0,19673.0,9860.0,10699.0,6230,1231,-171,5048,2016,14354,radiant
71,37736.0,26470.0,26825.0,21184.0,13938.0,30320.0,29780.0,20014.0,15063.0,13875.0,8920,-3531,6527,5833,-329,17420,radiant
72,36102.0,26277.0,25901.0,14527.0,11331.0,34389.0,29014.0,21318.0,14956.0,15123.0,924,-2374,4652,-203,-3936,-937,dire
73,28637.0,25627.0,21844.0,16644.0,11659.0,31647.0,27431.0,23462.0,14660.0,15122.0,-2868,-1552,-1506,2427,-3597,-7096,radiant
74,34308.0,20165.0,19064.0,12656.0,11917.0,31156.0,23672.0,22399.0,15911.0,11752.0,2007,-3255,-3561,-4094,-259,-9162,dire
75,29013.0,25679.0,16691.0,15909.0,12055.0,28139.0,25035.0,20564.0,13441.0,12383.0,296,408,-3241,2868,211,542,dire
76,27993.0,26360.0,23479.0,16857.0,15313.0,32439.0,23499.0,19439.0,19120.0,17226.0,-3515,3405,5307,-1284,-1255,2658,dire
77,31405.0,24196.0,20443.0,20518.0,15551.0,26589.0,25370.0,20457.0,17933.0,12856.0,4924,-965,270,2655,2948,9832,radiant
78,31163.0,29849.0,19560.0,16421.0,11820.0,27297.0,24779.0,21644.0,11857.0,11625.0,3196,4852,-1841,4930,427,11564,radiant
79,40418.0,21936.0,22951.0,14559.0,14767.0,31411.0,25645.0,21968.0,21563.0,11952.0,9381,-3213,896,-6944,2673,2793,radiant
80,30356.0,27310.0,24920.0,15990.0,15702.0,32366.0,25645.0,22052.0,20535.0,16988.0,-690,2576,4148,-3819,-833,1382,radiant
81,27963.0,26117.0,25469.0,16139.0,13907.0,27080.0,24893.0,19702.0,12750.0,11948.0,2165,2500,7203,3943,3019,18830,radiant
82,30676.0,28293.0,26285.0,14932.0,15880.0,30953.0,22608.0,21545.0,18140.0,15591.0,-750,6143,4903,-2980,480,7796,radiant
83,29547.0,25969.0,26805.0,17907.0,16054.0,29610.0,27229.0,18794.0,16811.0,12226.0,-1224,-1191,7580,544,3411,9120,dire
84,30467.0,28838.0,25286.0,17907.0,14358.0,31445.0,32048.0,20858.0,15507.0,13286.0,-1536,-3188,3087,802,616,-219,radiant
85,26199.0,21908.0,20698.0,13656.0,14172.0,32223.0,28076.0,21390.0,22679.0,16562.0,-5872,-6682,-25,-7486,-1393,-21458,dire
86,26117.0,20835.0,21820.0,19089.0,13932.0,28743.0,23986.0,19684.0,14235.0,13271.0,-2850,-2949,2540,5619,952,3312,dire
87,28017.0,20798.0,20154.0,14631.0,13346.0,26692.0,25778.0,20085.0,15830.0,12299.0,715,-5095,425,-1380,861,-4474,radiant
88,27246.0,24959.0,22571.0,16037.0,13194.0,30368.0,22970.0,22779.0,17994.0,13495.0,-3378,2470,-691,-2136,-545,-4280,dire
89,25760.0,18688.0,19599.0,15819.0,10541.0,29457.0,22515.0,21009.0,14415.0,12839.0,-3648,-2876,-943,1617,-1937,-7787,dire
90,32030.0,26763.0,24843.0,16674.0,13049.0,29569.0,26732.0,18357.0,18066.0,12385.0,2612,-1652,5647,-1562,341,5386,radiant
91,25571.0,25299.0,23428.0,22111.0,14811.0,38296.0,26517.0,22879.0,16405.0,11456.0,-12852,-1221,570,6401,3353,-3749,dire
92,32251.0,23307.0,22164.0,20673.0,14277.0,34254.0,21248.0,23090.0,16241.0,16908.0,-1862,2206,-408,4943,-2332,2547,dire
93,32426.0,25137.0,23520.0,16850.0,14936.0,30200.0,27172.0,21053.0,22350.0,14652.0,4516,-1878,1440,-6179,178,-1923,dire
94,33720.0,22858.0,19002.0,16301.0,11596.0,32757.0,27335.0,26039.0,18187.0,15298.0,1953,-5069,-6749,-1541,-3912,-15318,dire
95,32453.0,24639.0,20893.0,16968.0,14629.0,35314.0,23951.0,20627.0,18305.0,13570.0,-3201,1016,208,-955,1318,-1614,radiant
96,25518.0,23284.0,20878.0,14646.0,14014.0,30859.0,28811.0,24668.0,16272.0,14480.0,-5381,-5727,-3136,-1529,-21,-15794,dire
97,31187.0,26885.0,21770.0,19771.0,14642.0,37797.0,25426.0,23511.0,15837.0,15253.0,-8099,1839,-2297,3437,-464,-5584,radiant
98,30751.0,28166.0,26328.0,19898.0,14472.0,26027.0,24617.0,20401.0,17729.0,12677.0,4890,2950,5469,2408,1778,17495,radiant
99,29727.0,25673.0,25154.0,16187.0,13219.0,30375.0,29234.0,22951.0,15635.0,14712.0,-918,-3635,3646,233,-1270,-1944,radiant
100,35542.0,24087.0,23794.0,14628.0,13585.0,31604.0,25674.0,19870.0,13580.0,12655.0,2631,-1430,3077,632,617,5527,dire
101,30246.0,21983.0,20308.0,12594.0,12634.0,27542.0,24019.0,22341.0,17551.0,14551.0,3380,-1251,-2288,-4856,-1849,-6864,dire
102,26507.0,23822.0,18380.0,10546.0,9191.0,37148.0,22509.0,20888.0,12919.0,12846.0,-9688,2443,-2107,-2294,-3142,-14788,dire
103,28495.0,25375.0,21855.0,21355.0,12824.0,33451.0,26903.0,24135.0,18171.0,15916.0,-6063,-2571,-3596,2366,-3669,-13533,dire
104,36422.0,27009.0,20634.0,17916.0,18213.0,29454.0,25015.0,24956.0,20419.0,17664.0,6859,1679,-4342,-1990,218,2424,radiant
105,30882.0,23190.0,20614.0,13242.0,11668.0,35797.0,31221.0,24732.0,13637.0,9366.0,-5174,-8720,-4479,-674,2168,-16879,dire
106,28379.0,28515.0,27318.0,16089.0,14587.0,27826.0,26380.0,25863.0,19283.0,19120.0,3138,4088,4406,-1131,-2643,7858,radiant
107,34554.0,23886.0,22342.0,16379.0,13102.0,28485.0,28994.0,26639.0,20365.0,14902.0,6485,-2951,-5214,-2753,-1454,-5887,radiant
108,27670.0,24179.0,24122.0,16045.0,13562.0,33050.0,29578.0,28846.0,16304.0,15267.0,-5392,-5418,-5305,-576,-1644,-18335,dire
