,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
0,15204,19010,15842,6852,6428,19709,20270,15431,9569,8651,-4505,-1260,411,-2717,-2223,-10294,radiant,15104.0,19578.0,19063.0,20099.0,16022.0,15602.0,6947.0,9467.0,6602.0,8814.0
1,18107,14644,13464,9291,7567,20010,17717,13749,10728,9513,-1903,-3073,-285,-1437,-1946,-8644,dire,18155.0,19716.0,14831.0,16455.0,13401.0,12879.0,9209.0,10539.0,7618.0,9064.0
2,21251,15468,13644,8225,7639,19405,16447,13682,11575,5774,1846,-979,-38,-3350,1865,-656,radiant,21487.0,19501.0,15477.0,16902.0,13551.0,13566.0,8349.0,11373.0,7553.0,5995.0
3,20325,15813,12849,9130,7828,18901,15242,13762,13461,8151,1424,571,-913,-4331,-323,-3572,radiant,18650.0,17884.0,15327.0,15141.0,12574.0,14008.0,8465.0,13509.0,7906.0,8110.0
4,22256,21293,13053,8909,6386,16911,16111,14575,10410,7397,5345,5182,-1522,-1501,-1011,6493,radiant,21277.0,17416.0,20735.0,16615.0,12558.0,15085.0,8244.0,10592.0,6204.0,7643.0
5,16513,13975,12082,7992,7221,15425,15128,16071,9408,8399,1088,-1153,-3989,-1416,-1178,-6648,dire,16878.0,15674.0,14257.0,13840.0,11428.0,15101.0,7535.0,9804.0,7174.0,8133.0
6,22012,19140,14079,8819,7298,18834,17628,15092,11111,6308,3178,1512,-1013,-2292,990,2375,radiant,21747.0,18903.0,19153.0,17622.0,14095.0,14993.0,9065.0,11301.0,7580.0,6340.0
7,23177,15455,12063,11286,10455,17238,16776,11691,8707,8230,5939,-1321,372,2579,2225,9794,radiant,22063.0,16469.0,15542.0,16496.0,11578.0,11856.0,10255.0,8910.0,10167.0,8060.0
8,19368,16522,13152,12177,7715,15257,15282,13617,10090,9024,4111,1240,-465,2087,-1309,5664,radiant,19226.0,15095.0,16818.0,14225.0,13532.0,13800.0,12641.0,10023.0,8011.0,9300.0
9,18626,16410,13729,8705,8419,21327,13614,13686,10665,9785,-2701,2796,43,-1960,-1366,-3188,dire,17921.0,20372.0,16156.0,13469.0,13328.0,13212.0,8392.0,10318.0,8533.0,9184.0
10,15661,13167,11202,7959,5478,17676,15710,12003,9257,7404,-2015,-2543,-801,-1298,-1926,-8583,radiant,16157.0,17215.0,13068.0,16064.0,11493.0,11962.0,8075.0,9353.0,5681.0,7416.0
11,20104,19278,16005,11387,9348,21708,15246,13060,9840,6886,-1604,4032,2945,1547,2462,9382,radiant,19692.0,21676.0,18804.0,15574.0,15574.0,12948.0,11288.0,9580.0,9332.0,6944.0
12,17601,16322,12081,9127,7577,16148,14097,13146,7968,5834,1453,2225,-1065,1159,1743,5515,dire,17572.0,16071.0,16400.0,14420.0,12158.0,13326.0,9096.0,8129.0,7791.0,5998.0
13,15516,14801,14215,9116,7773,19625,18570,15610,15535,9211,-4109,-3769,-1395,-6419,-1438,-17130,dire,15437.0,19078.0,15134.0,18327.0,13425.0,16214.0,8696.0,15636.0,7739.0,9129.0
14,15647,14116,13085,9996,8799,20986,14743,14971,9367,9081,-5339,-627,-1886,629,-282,-7505,dire,15890.0,21177.0,14124.0,14534.0,13414.0,14917.0,10085.0,9620.0,8976.0,9299.0
15,16322,13925,15320,9960,8025,19427,19416,15264,10113,8153,-3105,-5491,56,-153,-128,-8821,dire,16649.0,18448.0,13977.0,19420.0,15317.0,14728.0,10207.0,9750.0,8263.0,7845.0
16,15667,12661,11714,7535,7228,22183,16791,13504,8854,7378,-6516,-4130,-1790,-1319,-150,-13905,dire,16104.0,21800.0,12926.0,17059.0,11617.0,12958.0,7752.0,9011.0,7510.0,7418.0
17,16110,13175,12678,8660,8945,17286,16799,16570,9926,8196,-1176,-3624,-3892,-1266,749,-9209,radiant,16178.0,17376.0,12922.0,17045.0,11703.0,17036.0,8479.0,10308.0,8801.0,7955.0
18,16309,14313,11350,8335,7457,21719,19720,16644,10770,9052,-5410,-5407,-5294,-2435,-1595,-20141,dire,16082.0,21470.0,14223.0,19756.0,11563.0,16685.0,7997.0,10984.0,7470.0,9236.0
19,14944,16013,13201,8979,7928,18064,13904,14559,7624,6476,-3120,2109,-1358,1355,1452,438,dire,15186.0,18033.0,16263.0,13408.0,13287.0,14672.0,8952.0,7633.0,7704.0,6752.0
20,18608,17241,14963,9906,7380,18152,19505,13047,7164,7658,456,-2264,1916,2742,-278,2572,radiant,18733.0,17786.0,17689.0,19018.0,15375.0,12485.0,10004.0,7180.0,7626.0,7706.0
21,19643,13742,10746,12469,8437,15995,15446,12903,9266,7304,3648,-1704,-2157,3203,1133,4123,radiant,19573.0,16038.0,13835.0,15695.0,11022.0,13185.0,12664.0,9399.0,8591.0,7454.0
22,16509,9931,9590,8747,8288,19889,15194,13459,8414,8820,-3380,-5263,-3869,333,-532,-12711,dire,17006.0,19226.0,10032.0,15422.0,9613.0,13661.0,8564.0,8714.0,8386.0,8830.0
23,19118,18252,16374,8886,8250,14646,14147,10050,9091,8533,4472,4105,6324,-205,-283,14413,radiant,19102.0,14602.0,18006.0,14208.0,16193.0,10381.0,8979.0,9344.0,8342.0,8702.0
24,20072,15969,12705,9420,8829,17321,16543,15224,9639,8346,2751,-574,-2519,-219,483,-78,dire,19459.0,17115.0,15491.0,16498.0,12647.0,15607.0,9527.0,9962.0,8893.0,8526.0
25,19646,15331,10801,8023,7531,19235,17856,11993,8917,9261,411,-2525,-1192,-894,-1730,-5930,radiant,19659.0,18896.0,15399.0,18154.0,10745.0,11771.0,8063.0,8976.0,7301.0,9463.0
26,18451,15000,9827,7747,7142,21517,15396,14160,9237,8495,-3066,-396,-4333,-1490,-1353,-10638,dire,17268.0,21591.0,14480.0,15277.0,9798.0,14386.0,7632.0,9459.0,6940.0,8629.0
