,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
766,1974,-1491,333,479,-1139,156,dire,7727.0,6549.0,5022.0,6737.0,7340.0,7231.0,4027.0,3230.0,2480.0,3621.0
767,-265,2633,1255,995,1386,6004,dire,6801.0,6566.0,6588.0,4144.0,6624.0,5086.0,3722.0,2867.0,3339.0,2115.0
768,463,1091,-61,251,752,2496,dire,7659.0,7173.0,6916.0,5749.0,5341.0,5724.0,3802.0,3729.0,2571.0,1946.0
769,413,1372,1447,435,-71,3596,radiant,6312.0,5817.0,6615.0,5135.0,6458.0,5254.0,3353.0,2692.0,2971.0,2619.0
770,-22,6,1112,36,542,1674,dire,5219.0,5523.0,6206.0,5489.0,5901.0,4994.0,3066.0,3060.0,3380.0,2790.0
771,2071,517,1100,576,1369,5633,radiant,7928.0,5769.0,6086.0,6151.0,5839.0,5250.0,3643.0,2952.0,4246.0,2638.0
772,1965,-1111,-198,120,197,973,dire,7726.0,5442.0,6032.0,7114.0,5191.0,5692.0,3795.0,3654.0,3424.0,3446.0
773,2913,1531,1365,1440,844,8093,radiant,8137.0,5396.0,6321.0,5046.0,5684.0,3867.0,4965.0,3308.0,3300.0,2564.0
774,-4475,-4589,-476,-5145,-1747,-16432,dire,3855.0,7491.0,3698.0,7941.0,4508.0,4651.0,2322.0,7522.0,1991.0,3399.0
775,-1546,-1442,-180,-386,-1266,-4820,dire,5483.0,6481.0,4096.0,5677.0,6174.0,5800.0,3457.0,3780.0,3285.0,4402.0
776,936,-1610,1395,4164,2593,7478,radiant,6313.0,5329.0,4505.0,6313.0,5934.0,4927.0,6903.0,2852.0,4453.0,2232.0
777,686,-1546,1616,282,-776,262,radiant,6447.0,5549.0,5537.0,7147.0,6821.0,4856.0,3448.0,3068.0,2882.0,3680.0
778,-2986,-853,-863,331,-1355,-5726,dire,5585.0,8145.0,5171.0,5483.0,5766.0,6240.0,4064.0,3366.0,2497.0,3485.0
779,420,1742,-86,606,-70,2612,dire,6264.0,5839.0,6725.0,5122.0,4580.0,4752.0,3069.0,2669.0,2466.0,2704.0
780,987,1033,-157,73,102,2038,dire,6568.0,6469.0,6526.0,6398.0,5409.0,5540.0,3734.0,3877.0,3344.0,3589.0
781,395,2591,-287,-245,-21,2433,radiant,6409.0,6092.0,7461.0,4554.0,5911.0,6000.0,3414.0,3418.0,3650.0,3293.0
782,-1616,135,-729,-713,-1000,-3923,dire,6152.0,7313.0,6375.0,5709.0,5697.0,6167.0,2829.0,3658.0,2993.0,3251.0
783,-1570,-746,-1028,-617,-791,-4752,dire,5825.0,7291.0,6555.0,7032.0,5377.0,6420.0,2660.0,3246.0,2410.0,3167.0
784,2389,-1772,1173,-658,636,1768,radiant,7610.0,5228.0,4916.0,6507.0,5849.0,4425.0,3537.0,3750.0,3271.0,2472.0
785,-1148,-1278,-904,683,-267,-2914,dire,5326.0,6466.0,4934.0,6654.0,5276.0,5880.0,3814.0,3434.0,2474.0,2898.0
