,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
28,8822,6214,6228,3618,3336,8098,4973,5202,3532,2618,724,1241,1026,86,718,3795,radiant,8839.0,7211.0,6186.0,4825.0,6543.0,4988.0,3804.0,3013.0,3512.0,2269.0
29,6421,5442,5848,3729,3447,5195,5570,6682,3185,3078,1226,-128,-834,544,369,1177,radiant,6089.0,5260.0,5150.0,5456.0,6036.0,6512.0,3824.0,3258.0,3453.0,3260.0
30,6953,5291,5828,2930,3290,8294,6748,7867,3567,3412,-1341,-1457,-2039,-637,-122,-5596,dire,6671.0,7912.0,5643.0,6802.0,5736.0,7841.0,3060.0,3530.0,3333.0,3488.0
31,5251,5545,7425,2903,2941,6187,5538,6273,2692,2447,-936,7,1152,211,494,928,dire,5008.0,6036.0,4920.0,5729.0,6896.0,5957.0,2886.0,2716.0,2620.0,2531.0
32,5455,5794,4386,2892,2770,5173,5259,5475,2965,3370,282,535,-1089,-73,-600,-945,dire,5531.0,4891.0,5396.0,5383.0,4342.0,5615.0,2931.0,2805.0,2797.0,3562.0
33,7296,7252,6091,3387,2200,5908,7948,5690,1872,2265,1388,-696,401,1515,-65,2543,radiant,7070.0,5833.0,6987.0,7854.0,5911.0,5672.0,3471.0,1990.0,2295.0,2514.0
34,5858,5209,3666,5258,3446,6271,7266,5627,4168,3250,-413,-2057,-1961,1090,196,-3145,radiant,5922.0,6123.0,4801.0,6937.0,3644.0,5690.0,5204.0,4203.0,3673.0,3092.0
35,6824,5081,3883,3977,3646,6673,5886,5432,2692,3108,151,-805,-1549,1285,538,-380,dire,6570.0,6113.0,5110.0,5970.0,3751.0,5227.0,4166.0,2311.0,3715.0,2966.0
36,8698,8056,7270,3507,3337,4464,5142,3386,2061,3146,4234,2914,3884,1446,191,12669,radiant,8622.0,4471.0,7723.0,5387.0,7486.0,3505.0,3512.0,2282.0,3368.0,3363.0
37,7566,5356,5211,3097,3160,5863,7049,6666,4472,3006,1703,-1693,-1455,-1375,154,-2666,dire,7244.0,5489.0,5042.0,6697.0,4973.0,6697.0,3267.0,4622.0,3166.0,3120.0
38,8703,5886,4729,3245,3391,6397,6000,4949,2818,2964,2306,-114,-220,427,427,2826,radiant,8060.0,6172.0,5770.0,5666.0,4473.0,4989.0,3126.0,3078.0,3252.0,2908.0
39,6823,5671,3918,3169,3149,7499,5260,5631,2922,2819,-676,411,-1713,247,330,-1401,dire,6402.0,7420.0,5465.0,5417.0,3917.0,5764.0,3007.0,3115.0,2794.0,2836.0
40,8528,7208,7303,4362,4467,5983,5584,5176,2938,3571,2545,1624,2127,1424,896,8616,radiant,8001.0,6136.0,6823.0,5846.0,6807.0,5322.0,4326.0,3102.0,4378.0,3602.0
41,6429,7186,4511,4688,3735,6193,7045,4698,3074,1826,236,141,-187,1614,1909,3713,radiant,6237.0,6114.0,7259.0,6981.0,4197.0,4616.0,4403.0,3333.0,3787.0,2035.0
42,6815,5527,4919,3413,2507,6875,5706,4572,3745,2939,-60,-179,347,-332,-432,-656,radiant,6538.0,6661.0,5629.0,5297.0,5076.0,4527.0,3337.0,3746.0,2648.0,2993.0
43,4715,5616,5566,2675,3589,7778,6818,5580,3203,3399,-3063,-1202,-14,-528,190,-4617,dire,4848.0,7796.0,5645.0,6662.0,5562.0,5188.0,2856.0,3057.0,3680.0,3389.0
44,7194,8181,6969,4906,4098,6449,6090,5322,3775,2906,745,2091,1647,1131,1192,6806,radiant,6804.0,6542.0,8184.0,5215.0,7141.0,5254.0,4999.0,3635.0,3967.0,2802.0
45,6003,6420,4549,4247,2667,6608,5624,6648,3997,3960,-605,796,-2099,250,-1293,-2951,dire,6073.0,6128.0,6087.0,5234.0,4463.0,6123.0,4184.0,3463.0,2532.0,3341.0
46,6481,6453,6293,3643,3375,5270,5420,4405,2912,2330,1211,1033,1888,731,1045,5908,radiant,6613.0,5236.0,6627.0,5111.0,6459.0,3906.0,3840.0,2586.0,3562.0,2250.0
47,5548,5438,3615,2319,4612,6254,7348,5707,3171,2626,-706,-1910,-2092,-852,1986,-3574,radiant,5264.0,6189.0,5574.0,7186.0,3882.0,5862.0,2496.0,2950.0,4557.0,2799.0
48,5501,6604,4340,4376,3077,6751,6346,5625,3386,2981,-1250,258,-1285,990,96,-1191,dire,5525.0,6507.0,6628.0,6393.0,4514.0,5885.0,4330.0,3640.0,3215.0,3102.0
49,5484,6438,6602,3198,2624,6245,6383,6426,3481,3195,-761,55,176,-283,-571,-1384,dire,5147.0,6153.0,6327.0,6488.0,6488.0,6265.0,3344.0,3451.0,2653.0,3413.0
50,7270,6632,5869,3053,2730,7427,7723,7519,4354,3426,-157,-1091,-1650,-1301,-696,-4895,dire,6856.0,7291.0,6792.0,7670.0,5916.0,7124.0,3193.0,4396.0,2839.0,3482.0
51,8359,6201,5814,3609,2744,7135,5550,6302,3415,3085,1224,651,-488,194,-341,1240,radiant,8293.0,6652.0,5961.0,5487.0,5802.0,6223.0,3599.0,3655.0,2856.0,3127.0
