match_id,hero_id,lane,lane_role,gold_t,radiant_team,dire_team,radiant_win,team,max_g,pos
7591136209,46,1,1,"[0, 294, 568, 953, 1351, 1679, 2132, 2491, 2994, 3255, 3554, 4076, 4342, 4819, 5234, 5494, 6217, 6927, 7774, 8623, 9807, 10749, 11863, 12657, 13152, 13781, 14953, 15719, 16394, 16574, 17093, 17794, 18705, 19948, 20831, 21593, 21693]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,21693,1
7591136209,5,1,1,"[0, 170, 307, 585, 788, 975, 1416, 1595, 1685, 1775, 1910, 2023, 2446, 2689, 3066, 3253, 3770, 4078, 4801, 5224, 5957, 6052, 6359, 6571, 6860, 7132, 7307, 7483, 7617, 7713, 8501, 8601, 8701, 8801, 8954, 9102, 9352]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,9352,5
7591136209,106,2,2,"[0, 252, 579, 876, 1443, 1950, 2246, 2617, 3240, 3545, 3858, 4188, 4844, 5267, 6069, 6200, 6774, 7219, 8075, 8834, 10215, 10572, 10936, 11956, 12605, 13537, 14324, 14500, 14838, 15572, 16805, 16905, 17909, 20228, 20708, 21585, 21685]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,21685,2
7591136209,53,2,2,"[0, 550, 677, 1314, 1720, 1972, 2206, 2386, 2808, 3063, 3325, 3515, 4241, 4665, 5336, 5736, 6486, 6581, 7392, 7815, 8906, 9438, 10106, 10437, 11263, 12000, 12210, 12386, 12482, 12890, 13409, 13643, 14511, 15274, 15765, 16430, 16563]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,16563,4
7591136209,28,3,3,"[0, 208, 495, 795, 1289, 1692, 1853, 1988, 2408, 2923, 3427, 3842, 4580, 4997, 5635, 6198, 7334, 7700, 8771, 9833, 10968, 11659, 12456, 13405, 14383, 15659, 16738, 17527, 18542, 18799, 19585, 19685, 19785, 19885, 20108, 21230, 21493]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,21493,3
7591146603,14,1,3,"[0, 130, 438, 646, 927, 1179, 1686, 2000, 2313, 3061, 3577, 3896, 4328, 4915, 5505, 6087, 6867, 7484, 7752, 8186, 8940, 9741, 10394, 11113, 11954, 12649, 13112, 13663, 14116, 14553, 15293, 15578, 16152, 16696, 18451]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",True,dire,18451,2
7591146603,20,1,3,"[0, 177, 285, 375, 510, 669, 1111, 1246, 1381, 1683, 1858, 2191, 2472, 2767, 3012, 3390, 3548, 3909, 4156, 4978, 5982, 6404, 6779, 6926, 7327, 8055, 8441, 8946, 9204, 9512, 9767, 9977, 10497, 10825, 11893]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",True,dire,11893,4
7591146603,137,2,2,"[0, 205, 525, 771, 1069, 1475, 2129, 2301, 2773, 3236, 3597, 4089, 4571, 5015, 5387, 6130, 6774, 7780, 8458, 9116, 10001, 10345, 10567, 10751, 11385, 11971, 12403, 12927, 13185, 13824, 14439, 14891, 15777, 16474, 17788]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",True,dire,17788,3
7591146603,91,3,1,"[0, 130, 265, 440, 614, 845, 1026, 1300, 1832, 1967, 2407, 2701, 2890, 2984, 3329, 3459, 3858, 4264, 4501, 4873, 5257, 5469, 5681, 5776, 6006, 6328, 6513, 7095, 7353, 7635, 8060, 8467, 8983, 9311, 10493]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",True,dire,10493,5
7591146603,136,3,1,"[0, 167, 485, 836, 1331, 1978, 2429, 3132, 3907, 4440, 5060, 5774, 6142, 6495, 7438, 7739, 8613, 9517, 10179, 11765, 12963, 13596, 13864, 14801, 15311, 16554, 17042, 17983, 18690, 19233, 19843, 20534, 20932, 21661, 23616]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",True,dire,23616,1
7591146603,112,1,1,"[0, 271, 379, 469, 606, 774, 909, 1657, 1747, 1985, 2168, 2464, 2680, 3031, 3217, 3636, 3854, 4211, 4830, 5359, 5585, 6072, 6818, 7323, 7713, 7969, 8064, 8629, 9865, 10153, 10398, 11001, 11581, 12022, 12122]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",False,radiant,12122,5
7591146603,8,1,1,"[0, 574, 844, 1168, 1513, 2055, 2418, 3091, 3593, 4175, 4595, 5002, 5720, 6339, 7022, 8188, 8759, 9531, 9903, 10624, 10887, 11914, 13212, 13888, 14461, 15070, 15619, 16689, 17775, 18497, 19169, 19849, 20630, 21161, 21308]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",False,radiant,21308,1
7591146603,106,2,2,"[0, 319, 646, 897, 1296, 1663, 2031, 2405, 2910, 3409, 4252, 4727, 5430, 6092, 6484, 6775, 7550, 8224, 8748, 9432, 9527, 10160, 10640, 11529, 12209, 12999, 13197, 13732, 14721, 15003, 15376, 15566, 16440, 16926, 17063]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",False,radiant,17063,2
