,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,-3703,-2559,1454,-1211,-3943,-9962,radiant,26318.0,30117.0,25655.0,29063.0,24362.0,22153.0,13441.0,14927.0,10270.0,14030.0
1,2905,-854,-4013,-7306,-3095,-12363,radiant,30164.0,27272.0,21978.0,22253.0,17098.0,21011.0,13155.0,20504.0,11486.0,14455.0
2,2600,4923,-787,-869,2214,8081,dire,26247.0,23782.0,24152.0,18826.0,19662.0,20148.0,13338.0,13168.0,13016.0,11120.0
3,-9220,-477,-2250,-3285,-2219,-17451,dire,25400.0,32843.0,22574.0,22428.0,18438.0,21110.0,12781.0,15181.0,11827.0,13918.0
4,2025,1224,899,-384,-529,3235,radiant,29024.0,26740.0,22177.0,21029.0,18508.0,16655.0,13542.0,13313.0,10544.0,10541.0
5,372,2237,-1959,1408,-734,1324,dire,25501.0,25479.0,22638.0,20414.0,17020.0,19532.0,13544.0,11877.0,9862.0,10503.0
6,-1290,-4130,1493,4672,1070,1815,dire,28062.0,28688.0,22093.0,25438.0,22012.0,20498.0,19396.0,14757.0,13233.0,12106.0
7,-53,-862,-4401,-328,754,-4890,radiant,24413.0,24373.0,22099.0,22793.0,17573.0,21409.0,15230.0,15120.0,13252.0,12916.0
8,-1476,3557,-503,2730,2534,6842,dire,24078.0,25789.0,22257.0,18734.0,19011.0,19371.0,13283.0,10622.0,11854.0,9142.0
9,-159,-2255,4766,3451,600,6403,radiant,27596.0,29029.0,24269.0,27482.0,21512.0,16930.0,15579.0,12543.0,11365.0,11236.0
10,3010,-4713,-465,3518,-927,423,radiant,29238.0,24723.0,18810.0,23506.0,17016.0,17660.0,17099.0,12715.0,11616.0,11735.0
11,-2182,-6256,-4583,1290,619,-11112,dire,26736.0,27829.0,14612.0,20381.0,13529.0,17608.0,12549.0,10802.0,12069.0,11305.0
12,2139,1116,6952,-1351,-1639,7217,radiant,27088.0,24007.0,24099.0,22504.0,23294.0,15867.0,12645.0,13503.0,11135.0,12201.0
13,3450,55,-2955,-170,-285,95,dire,29612.0,25961.0,23387.0,23154.0,19127.0,22058.0,13109.0,13468.0,13756.0,13932.0
14,4230,1065,1185,-891,-251,5338,radiant,30416.0,27518.0,24093.0,23367.0,17317.0,16364.0,13253.0,14288.0,11687.0,12481.0
15,-6571,-1133,-4484,-1568,-2988,-16744,dire,22846.0,29496.0,22166.0,22872.0,13214.0,17522.0,10901.0,12590.0,9047.0,11895.0
16,3356,-3013,-4816,-1259,-2722,-8454,radiant,30637.0,27223.0,19465.0,22596.0,16761.0,21563.0,12750.0,13745.0,10964.0,13666.0
17,-5645,-3611,2284,-1627,1277,-7322,dire,21023.0,27478.0,21486.0,25086.0,20697.0,19004.0,15192.0,17762.0,16348.0,15722.0
18,-3237,-12041,-5209,64,3699,-16724,radiant,24920.0,28877.0,20834.0,32092.0,15580.0,21235.0,13741.0,13534.0,14020.0,10151.0
19,-8151,-4881,-3239,-5512,-2104,-23887,dire,20207.0,27974.0,18434.0,23631.0,18797.0,22291.0,8447.0,13528.0,7572.0,9370.0
20,11453,-2636,-2958,-891,-1304,3664,radiant,30996.0,19212.0,18282.0,20575.0,17478.0,20532.0,11923.0,12451.0,10383.0,11592.0
21,-6926,-311,3862,-1148,-1008,-5531,radiant,25759.0,31919.0,22711.0,22703.0,21634.0,17608.0,11684.0,12561.0,11797.0,12446.0
22,-12394,-3671,-4960,222,-524,-21327,dire,20081.0,31878.0,19260.0,22939.0,17066.0,21870.0,16322.0,16092.0,13338.0,13667.0
23,-619,1447,5076,4357,4000,14261,radiant,25661.0,26911.0,23437.0,22410.0,22585.0,18113.0,15280.0,11613.0,13467.0,9858.0
24,-4493,-4303,-2125,-2494,-3430,-16845,dire,27614.0,31285.0,22332.0,25891.0,19964.0,22099.0,11300.0,13276.0,10014.0,13270.0
25,6493,6296,-2980,-2760,-2134,4915,dire,30144.0,23730.0,24382.0,17591.0,17404.0,20276.0,12575.0,15351.0,10266.0,11936.0
26,-5574,212,-2551,-4502,-8449,-20864,dire,21938.0,28242.0,21765.0,21165.0,17002.0,20198.0,11533.0,16776.0,8436.0,16553.0
27,-4647,-1660,-2560,-493,-663,-10023,dire,21341.0,25085.0,22358.0,23980.0,18195.0,21491.0,14165.0,14297.0,11853.0,12455.0
28,4747,2732,1052,2996,4162,15689,radiant,28997.0,26258.0,23328.0,21492.0,21579.0,20714.0,12508.0,10732.0,12459.0,9017.0
