,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
0,34838,26058,18867,15037,13567,32312,26404,23512,21732,15692,2526,-346,-4645,-6695,-2125,-11285,radiant,34262.0,31553.0,25727.0,26308.0,19062.0,23774.0,15275.0,22037.0,13577.0,15864.0
1,31887,27451,22016,16203,14983,28036,25175,23802,16335,12964,3851,2276,-1786,-132,2019,6228,dire,31618.0,27736.0,27204.0,24774.0,22312.0,23832.0,16225.0,16414.0,15260.0,13096.0
2,36061,27009,20852,15328,12898,32137,23415,19309,15123,12284,3924,3594,1543,205,614,9880,radiant,36105.0,31713.0,27264.0,23356.0,20827.0,18706.0,15649.0,15236.0,13281.0,12451.0
3,31723,26936,21130,14824,11429,30390,26154,21943,13862,12313,1333,782,-813,962,-884,1380,dire,30781.0,29729.0,26990.0,25192.0,20285.0,21864.0,14576.0,13484.0,11141.0,12123.0
4,32639,25274,25117,22417,15650,34927,31342,23410,17759,13902,-2288,-6068,1707,4658,1748,-243,dire,32837.0,34078.0,25020.0,31819.0,25546.0,23856.0,22552.0,17452.0,16023.0,14155.0
5,29037,25999,22722,15214,14556,30300,24776,23029,12356,11752,-1263,1223,-307,2858,2804,5315,dire,29288.0,29808.0,26076.0,24981.0,23147.0,22526.0,15211.0,11919.0,14230.0,11755.0
6,35983,24138,21113,20806,15162,30691,26102,19595,16105,14664,5292,-1964,1518,4701,498,10045,radiant,35298.0,31131.0,23028.0,26542.0,20398.0,19664.0,20208.0,15778.0,14088.0,14705.0
7,31920,18838,16628,15047,15487,34200,25820,21116,15206,13672,-2280,-6982,-4488,-159,1815,-12094,dire,31641.0,34103.0,18736.0,26037.0,16616.0,21259.0,14833.0,15634.0,15527.0,13960.0
8,34645,25340,22351,17037,16254,29752,28704,24135,15925,16816,4893,-3364,-1784,1112,-562,295,dire,34792.0,30257.0,25485.0,29242.0,22247.0,24271.0,16932.0,16251.0,16464.0,17195.0
9,37792,29256,21109,15633,15134,34630,29128,20032,16480,15358,3162,128,1077,-847,-224,3296,radiant,38106.0,32194.0,29665.0,27941.0,21392.0,19175.0,16001.0,15925.0,15405.0,14228.0
10,33829,22141,19299,15339,12736,33248,25201,23742,17206,15420,581,-3060,-4443,-1867,-2684,-11473,radiant,33860.0,31524.0,22124.0,24464.0,19438.0,23370.0,15112.0,16667.0,12486.0,15062.0
11,25778,24743,24071,18819,19233,31389,29582,20826,19059,18779,-5611,-4839,3245,-240,454,-6991,dire,25673.0,31902.0,24247.0,29500.0,23929.0,21040.0,18764.0,19271.0,19361.0,18843.0
12,29675,28215,18499,15988,17632,35939,36361,25260,15926,13054,-6264,-8146,-6761,62,4578,-16531,radiant,29807.0,34631.0,26664.0,35803.0,18067.0,24701.0,14961.0,15885.0,16479.0,12722.0
13,24251,23263,23260,10816,9287,34909,28257,26006,16108,11095,-10658,-4994,-2746,-5292,-1808,-25498,dire,23884.0,35082.0,23815.0,28129.0,23198.0,25721.0,10911.0,16517.0,9527.0,11370.0
14,35535,20873,20787,13828,12203,24505,25563,24419,15638,13298,11030,-4690,-3632,-1810,-1095,-197,radiant,35829.0,22947.0,20953.0,24315.0,21120.0,23089.0,12998.0,14934.0,11683.0,12289.0
15,31093,27433,24873,14432,14659,38889,24879,21539,14410,15105,-7796,2554,3334,22,-446,-2332,radiant,30146.0,38814.0,27002.0,24972.0,23909.0,21639.0,13893.0,14435.0,14175.0,14431.0
16,36595,28393,20533,15303,12214,29036,20917,23290,18641,14862,7559,7476,-2757,-3338,-2648,6292,dire,36249.0,28837.0,28081.0,20578.0,19977.0,22674.0,15160.0,18979.0,12174.0,14320.0
17,25937,24964,23025,16846,14520,31063,28624,26655,18141,15837,-5126,-3660,-3630,-1295,-1317,-15028,dire,24265.0,31172.0,24993.0,28035.0,21814.0,25484.0,15918.0,17933.0,13448.0,15856.0
18,38955,31232,27452,18097,15693,28460,23939,22319,12765,9274,10495,7293,5133,5332,6419,34672,radiant,37859.0,28253.0,30635.0,24260.0,26801.0,22234.0,17479.0,12914.0,15329.0,9397.0
19,25623,23664,22216,22170,15826,37997,32601,23945,16485,15436,-12374,-8937,-1729,5685,390,-16965,dire,26356.0,36687.0,24149.0,31935.0,22631.0,23372.0,22329.0,16511.0,16299.0,14965.0
20,33487,30854,31116,21088,17979,34475,27952,23063,14521,14249,-988,2902,8053,6567,3730,20264,radiant,33139.0,34458.0,30781.0,27529.0,31029.0,23151.0,20677.0,14779.0,18312.0,14408.0
21,30243,21633,21043,17742,13958,36984,23975,22814,16000,16056,-6741,-2342,-1771,1742,-2098,-11210,radiant,29789.0,36814.0,21407.0,23918.0,21042.0,23010.0,17816.0,16050.0,13173.0,16389.0
22,31597,27401,20586,19576,12565,40600,31817,30636,14920,12203,-9003,-4416,-10050,4656,362,-18451,dire,31237.0,39221.0,27816.0,29108.0,21103.0,29764.0,19802.0,14019.0,12704.0,11448.0
23,28909,30199,19411,15310,14034,26177,28210,22082,12842,12629,2732,1989,-2671,2468,1405,5923,radiant,28046.0,26529.0,29331.0,27211.0,19125.0,22374.0,15353.0,12776.0,13660.0,12832.0
24,28497,26009,25979,15718,15629,26894,23862,20362,16412,12970,1603,2147,5617,-694,2659,11332,radiant,28798.0,26570.0,25950.0,23746.0,25262.0,20524.0,15141.0,16287.0,15389.0,12566.0
25,34905,26383,22120,14300,11290,26837,25613,21422,16093,14759,8068,770,698,-1793,-3469,4274,radiant,34818.0,26521.0,26840.0,25382.0,22002.0,21354.0,14351.0,16376.0,11373.0,14730.0
26,29381,26882,22217,13218,14014,29570,26594,22421,21940,15843,-189,288,-204,-8722,-1829,-10656,radiant,29476.0,29748.0,27352.0,27042.0,22582.0,22717.0,13412.0,22348.0,14125.0,16103.0
27,38248,22042,21122,13058,12207,32647,26020,25137,14591,12391,5601,-3978,-4015,-1533,-184,-4109,radiant,38918.0,31905.0,22287.0,25622.0,21513.0,24079.0,13365.0,14816.0,12396.0,11901.0
28,30704,30880,27352,14843,14006,29060,30354,26168,22772,14410,1644,526,1184,-7929,-404,-4979,radiant,30386.0,28742.0,30455.0,30546.0,27476.0,25919.0,14681.0,22041.0,14079.0,14710.0
29,37778,26951,25332,20271,17223,35877,26124,24660,15740,14032,1901,827,672,4531,3191,11122,radiant,36404.0,33941.0,26310.0,24917.0,24734.0,23639.0,19590.0,15042.0,15894.0,13371.0
30,24593,20831,18844,15980,14593,30301,24871,23941,13984,11866,-5708,-4040,-5097,1996,2727,-10122,dire,23951.0,30584.0,20814.0,24937.0,18330.0,24379.0,14987.0,14092.0,14341.0,12011.0
31,30149,28787,22570,14437,12642,31046,21070,19574,14316,12861,-897,7717,2996,121,-219,9718,radiant,30103.0,30702.0,27569.0,21314.0,22322.0,18750.0,14402.0,14403.0,12376.0,12911.0
32,28526,23582,21179,16750,15297,29848,24390,24464,16269,18524,-1322,-808,-3285,481,-3227,-8161,dire,26469.0,29374.0,22709.0,24581.0,20256.0,24498.0,16028.0,16272.0,14924.0,18697.0
33,28488,23174,20791,14296,11443,33391,21642,24295,18225,11874,-4903,1532,-3504,-3929,-431,-11235,dire,28316.0,33307.0,23523.0,21460.0,20674.0,24033.0,14542.0,18261.0,11653.0,11903.0
34,35575,23655,23001,19341,19326,26601,22066,21388,15740,10725,8974,1589,1613,3601,8601,24378,radiant,34882.0,26965.0,22928.0,22354.0,22215.0,21468.0,18245.0,15389.0,18695.0,10915.0
35,29194,24261,21318,17181,13674,29738,24980,21510,21517,14988,-544,-719,-192,-4336,-1314,-7105,dire,29420.0,30292.0,24378.0,24857.0,21655.0,21637.0,17431.0,21393.0,13876.0,15162.0
36,29226,26861,20944,14405,14130,44386,25151,24486,16419,14590,-15160,1710,-3542,-2014,-460,-19466,dire,29385.0,43564.0,26762.0,24721.0,20625.0,23713.0,14855.0,16406.0,14432.0,14711.0
37,35698,23455,19991,17494,14908,34570,28507,23997,15532,12757,1128,-5052,-4006,1962,2151,-3817,radiant,35186.0,34088.0,23568.0,28414.0,19722.0,24134.0,17351.0,15854.0,15095.0,12940.0
38,38730,29168,27562,22669,16256,23343,23103,19100,11978,11697,15387,6065,8462,10691,4559,45164,radiant,37345.0,22842.0,27988.0,23517.0,26567.0,19189.0,21371.0,12229.0,15574.0,11869.0
39,32687,32172,30911,17122,16739,35466,25937,22549,17648,11260,-2779,6235,8362,-526,5479,16771,radiant,32489.0,34877.0,32630.0,25784.0,31157.0,22776.0,16879.0,17445.0,17066.0,11395.0
40,33811,26843,18401,14082,13370,33642,28788,23677,17774,16225,169,-1945,-5276,-3692,-2855,-13599,dire,33785.0,32427.0,27180.0,27667.0,18655.0,23215.0,14336.0,17242.0,13605.0,15891.0
41,30835,23090,23014,20637,15155,30776,30032,21614,16923,14916,59,-6942,1400,3714,239,-1530,dire,29867.0,30684.0,22491.0,29974.0,22724.0,21493.0,20082.0,17083.0,14826.0,14933.0
42,33378,22249,21153,15341,12635,29559,29114,23272,16318,15242,3819,-6865,-2119,-977,-2607,-8749,dire,33845.0,29345.0,22446.0,29083.0,21357.0,23347.0,15764.0,15951.0,12899.0,15016.0
43,36834,28678,18642,16353,16246,34503,22594,17871,16316,13647,2331,6084,771,37,2599,11822,radiant,35735.0,34944.0,28025.0,22459.0,18064.0,18157.0,15840.0,16635.0,15573.0,13886.0
44,24716,26632,21860,15853,13021,26405,26925,26366,15407,15828,-1689,-293,-4506,446,-2807,-8849,dire,24491.0,26423.0,26915.0,26340.0,21888.0,26465.0,15833.0,15497.0,13268.0,15883.0
45,31652,25912,20882,12931,12280,31753,23541,21824,14854,12585,-101,2371,-942,-1923,-305,-900,dire,31780.0,31398.0,26354.0,23466.0,20674.0,22059.0,13180.0,15003.0,12498.0,12789.0
46,35259,26079,24203,16691,15843,26065,24791,19821,19689,14671,9194,1288,4382,-2998,1172,13038,dire,35362.0,26104.0,25853.0,24653.0,23778.0,19743.0,16831.0,19821.0,15505.0,14624.0
47,28912,27168,25865,15939,13594,32451,21308,20468,12695,11650,-3539,5860,5397,3244,1944,12906,radiant,28866.0,32349.0,27515.0,21236.0,26084.0,20511.0,16042.0,12957.0,13959.0,11916.0
48,34119,22378,22703,11034,10508,29091,26242,21386,19251,12135,5028,-3864,1317,-8217,-1627,-7363,dire,33432.0,28471.0,22437.0,26639.0,22800.0,21669.0,11220.0,19625.0,10712.0,12388.0
49,30070,27655,19769,16429,10423,34192,27673,21843,23214,15721,-4122,-18,-2074,-6785,-5298,-18297,dire,30358.0,33942.0,27357.0,28004.0,19047.0,22083.0,16218.0,23658.0,10539.0,15584.0
50,26817,24453,22833,16701,11006,25809,22190,17918,13656,9939,1008,2263,4915,3045,1067,12298,radiant,26453.0,25204.0,24691.0,22074.0,22694.0,17582.0,16835.0,13582.0,11232.0,9770.0
51,38112,30712,28283,24042,21026,28583,25057,20336,17161,14985,9529,5655,7947,6881,6041,36053,radiant,37570.0,28704.0,29697.0,25638.0,27526.0,20847.0,23626.0,17351.0,21344.0,15279.0
52,29962,27199,21323,14642,12424,32937,25979,18953,15404,14225,-2975,1220,2370,-762,-1801,-1948,radiant,30047.0,32363.0,27310.0,25482.0,21384.0,19320.0,14982.0,15608.0,12642.0,14190.0
53,28758,27023,28716,14586,13050,28482,21064,20852,11385,10422,276,5959,7864,3201,2628,19928,radiant,28706.0,28670.0,26778.0,21185.0,28702.0,21122.0,14574.0,11125.0,13197.0,10557.0
54,24170,23489,20546,13277,11569,29888,23550,22005,17874,13233,-5718,-61,-1459,-4597,-1664,-13499,dire,24143.0,30442.0,23825.0,23656.0,20425.0,21969.0,13507.0,18116.0,11697.0,13468.0
55,30326,29150,27178,18593,14887,30082,27799,17470,18259,11717,244,1351,9708,334,3170,14807,dire,29307.0,28510.0,28715.0,27442.0,26812.0,17221.0,18304.0,18323.0,14936.0,11433.0
56,34958,27516,25741,20243,14329,23867,23754,23291,16299,12246,11091,3762,2450,3944,2083,23330,radiant,34909.0,23906.0,27192.0,23681.0,25770.0,22929.0,19715.0,16362.0,14426.0,12233.0
57,28257,26566,25820,18777,16261,25235,26180,22387,14528,11785,3022,386,3433,4249,4476,15566,radiant,28377.0,24957.0,26847.0,25881.0,25946.0,22275.0,18610.0,14504.0,15993.0,11559.0
58,32981,25582,21556,15702,12599,30732,26214,19307,22310,18366,2249,-632,2249,-6608,-5767,-8509,dire,32704.0,30696.0,25880.0,26223.0,21362.0,19704.0,15917.0,21839.0,12958.0,18371.0
59,37037,30416,22150,17060,11828,29518,27324,29033,16533,16362,7519,3092,-6883,527,-4534,-279,radiant,37319.0,27684.0,29716.0,26453.0,21729.0,28024.0,16983.0,15466.0,11619.0,15684.0
60,38450,28542,19523,20591,20565,24965,24655,22549,17674,13620,13485,3887,-3026,2917,6945,24208,radiant,38669.0,24920.0,28839.0,25026.0,19846.0,22740.0,20948.0,17790.0,20627.0,13906.0
61,29430,20963,20967,13398,10875,36197,27717,20687,13786,13710,-6767,-6754,280,-388,-2835,-16464,dire,29324.0,35181.0,20891.0,27317.0,20659.0,20448.0,13524.0,13492.0,11038.0,13492.0
62,24923,21970,20619,16269,11810,37325,24023,21090,16501,13718,-12402,-2053,-471,-232,-1908,-17066,dire,25172.0,36007.0,21949.0,24041.0,20335.0,21121.0,16417.0,16502.0,11979.0,13750.0
63,35851,26574,22792,18586,13168,33516,25861,24183,17564,12810,2335,713,-1391,1022,358,3037,radiant,35853.0,33885.0,26560.0,25952.0,22872.0,23757.0,18142.0,17404.0,13228.0,13021.0
64,33383,26879,23681,20329,14244,26624,26413,20250,17220,14301,6759,466,3431,3109,-57,13708,radiant,31558.0,26320.0,25800.0,25890.0,22644.0,20146.0,19361.0,17198.0,13474.0,13663.0
65,25650,26388,25711,15188,10488,30968,27597,20816,17252,15791,-5318,-1209,4895,-2064,-5303,-8999,dire,25682.0,30769.0,27136.0,28042.0,26322.0,21254.0,15501.0,17140.0,10576.0,16018.0
66,37830,23179,20295,17159,17586,38692,31252,28001,16075,13106,-862,-8073,-7706,1084,4480,-11077,dire,38386.0,38193.0,23607.0,30290.0,20433.0,27641.0,17535.0,15729.0,17835.0,12609.0
67,36998,28589,19619,12634,13841,33110,26489,26927,14936,14325,3888,2100,-7308,-2302,-484,-4106,radiant,36606.0,32957.0,27823.0,26346.0,19107.0,26855.0,12118.0,15002.0,13893.0,14335.0
68,29693,24138,23437,15265,10129,28576,25573,25194,15436,12420,1117,-1435,-1757,-171,-2291,-4537,dire,28847.0,28149.0,23992.0,25882.0,23588.0,25661.0,14661.0,15654.0,10079.0,12716.0
69,29247,25688,21058,16581,14247,40527,25224,22993,18397,14450,-11280,464,-1935,-1816,-203,-14770,dire,28415.0,41012.0,24889.0,25281.0,20471.0,22724.0,16300.0,18599.0,13749.0,14705.0
70,36466,25892,19463,15070,12862,30236,24661,19634,10022,10846,6230,1231,-171,5048,2016,14354,radiant,34555.0,29871.0,24913.0,24793.0,19331.0,19673.0,14609.0,9860.0,11427.0,10699.0
71,38949,26243,26396,20827,13748,30029,29774,19869,14994,14077,8920,-3531,6527,5833,-329,17420,radiant,37736.0,30320.0,26470.0,29780.0,26825.0,20014.0,21184.0,15063.0,13938.0,13875.0
