,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517586007,46,42,97,50,86,22,29,71,14,26,2526,-346,-4645,-6695,-2125,-11285,45,radiant,34360.0,31790.0,25591.0,26319.0,18949.0,23269.0,15265.0,21700.0,13218.0,15734.0
1,7519118314,53,10,20,136,51,48,80,23,112,83,3851,2276,-1786,-132,2019,6228,45,dire,31005.0,27647.0,27525.0,24782.0,22076.0,23909.0,16243.0,16454.0,15229.0,13292.0
2,7519735705,10,39,129,79,83,113,22,104,86,102,3924,3594,1543,205,614,9880,45,radiant,36606.0,32014.0,27139.0,23393.0,20717.0,18305.0,15407.0,14928.0,13466.0,12346.0
3,7520505806,10,120,78,51,26,13,41,71,20,68,1333,782,-813,962,-884,1380,45,dire,31173.0,29246.0,27303.0,25262.0,19616.0,21419.0,14531.0,13274.0,10938.0,11407.0
4,7520723202,76,28,71,58,40,10,98,61,79,136,-2288,-6068,1707,4658,1748,-243,45,dire,32492.0,34556.0,25075.0,31768.0,25011.0,23991.0,22585.0,17232.0,16228.0,14166.0
5,7521480417,12,107,21,85,138,10,129,137,26,100,-1263,1223,-307,2858,2804,5315,45,dire,29529.0,30204.0,26082.0,24924.0,23067.0,22458.0,15220.0,11743.0,13917.0,11690.0
6,7522384400,95,137,110,97,101,25,28,135,86,26,5292,-1964,1518,4701,498,10045,45,radiant,35551.0,31248.0,22959.0,26624.0,20208.0,19943.0,20103.0,15470.0,13965.0,14565.0
7,7522545002,93,47,110,20,14,25,29,70,27,121,-2280,-6982,-4488,-159,1815,-12094,45,dire,31566.0,34240.0,18490.0,26011.0,16410.0,21227.0,14623.0,15485.0,15345.0,14152.0
8,7522585414,65,48,23,58,112,54,21,20,136,45,4893,-3364,-1784,1112,-562,295,45,dire,34768.0,29554.0,25366.0,29225.0,22327.0,24048.0,16929.0,16290.0,16489.0,16922.0
9,7522659008,25,74,23,102,45,52,76,14,71,79,3162,128,1077,-847,-224,3296,45,radiant,38285.0,32938.0,28968.0,27599.0,21431.0,18865.0,15898.0,15582.0,15114.0,13978.0
10,7523717218,48,74,129,96,26,46,17,69,20,45,581,-3060,-4443,-1867,-2684,-11473,45,radiant,33916.0,31634.0,21709.0,24376.0,19353.0,22866.0,15199.0,16449.0,12331.0,14791.0
11,7523787713,78,41,76,105,110,10,120,129,128,51,-5611,-4839,3245,-240,454,-6991,45,dire,25074.0,32328.0,24284.0,29846.0,23658.0,20919.0,18776.0,18651.0,19239.0,18827.0
12,7524401509,13,10,138,30,100,1,25,21,112,20,-6264,-8146,-6761,62,4578,-16531,45,radiant,29358.0,35026.0,26967.0,36034.0,17804.0,24653.0,14789.0,15904.0,16445.0,12523.0
13,7525812113,35,22,69,83,26,6,90,135,136,20,-10658,-4994,-2746,-5292,-1808,-25498,45,dire,23577.0,34877.0,23898.0,27268.0,22639.0,26126.0,11063.0,16564.0,9299.0,11175.0
14,7526305209,89,96,76,105,68,41,43,106,26,110,11030,-4690,-3632,-1810,-1095,-197,45,radiant,36282.0,22957.0,21041.0,23818.0,20819.0,23089.0,13047.0,14782.0,10979.0,12159.0
15,7527329500,46,102,21,26,14,95,13,97,20,86,-7796,2554,3334,22,-446,-2332,45,radiant,30164.0,38995.0,26820.0,24673.0,23852.0,21534.0,13717.0,14248.0,13992.0,14138.0
16,7529378713,76,53,43,85,19,80,23,112,31,26,7559,7476,-2757,-3338,-2648,6292,45,dire,35860.0,28874.0,27575.0,20567.0,19468.0,22732.0,15148.0,18832.0,12035.0,14148.0
17,7529493512,32,82,78,71,58,17,14,21,51,20,-5126,-3660,-3630,-1295,-1317,-15028,45,dire,24171.0,31012.0,24776.0,27590.0,21222.0,25416.0,15605.0,17916.0,13393.0,15623.0
18,7529670117,41,13,69,86,3,114,90,129,20,26,10495,7293,5133,5332,6419,34672,45,radiant,38093.0,28578.0,30139.0,23496.0,26197.0,22093.0,17126.0,12704.0,15279.0,9181.0
19,7530159016,41,53,129,97,105,25,36,96,100,20,-12374,-8937,-1729,5685,390,-16965,45,dire,26457.0,36930.0,23689.0,31931.0,22534.0,23439.0,22235.0,16485.0,16315.0,14772.0
20,7530771503,38,61,129,90,65,48,22,78,119,66,-988,2902,8053,6567,3730,20264,45,radiant,32719.0,34444.0,30920.0,27695.0,30950.0,22563.0,20010.0,15006.0,18160.0,14429.0
21,7531515518,4,102,19,105,45,73,21,13,65,100,-6741,-2342,-1771,1742,-2098,-11210,45,radiant,30018.0,36615.0,21212.0,23875.0,20963.0,22703.0,17803.0,15904.0,12869.0,16350.0
22,7531926406,46,13,121,71,5,4,106,55,86,83,-9003,-4416,-10050,4656,362,-18451,45,dire,31369.0,39771.0,27386.0,29109.0,21325.0,29492.0,19394.0,13675.0,12720.0,11619.0
23,7532211815,11,17,60,19,102,76,21,23,79,58,2732,1989,-2671,2468,1405,5923,45,radiant,27273.0,26243.0,29240.0,27155.0,19186.0,22470.0,15250.0,12524.0,13544.0,12761.0
24,7532553807,10,126,98,86,72,4,13,112,19,26,1603,2147,5617,-694,2659,11332,45,radiant,29164.0,26740.0,25796.0,23428.0,25305.0,20592.0,14825.0,16176.0,15072.0,12392.0
25,7532722008,63,114,96,110,26,106,54,69,86,58,8068,770,698,-1793,-3469,4274,45,radiant,34457.0,26538.0,27195.0,24790.0,22112.0,20911.0,14219.0,16072.0,11196.0,14695.0
26,7532985414,10,25,137,100,26,96,54,19,65,5,-189,288,-204,-8722,-1829,-10656,45,radiant,29866.0,29727.0,27417.0,26385.0,22496.0,22658.0,13339.0,22256.0,13984.0,16102.0
27,7533042916,10,74,47,96,20,46,22,69,72,121,5601,-3978,-4015,-1533,-184,-4109,45,radiant,39425.0,32004.0,21843.0,25710.0,21311.0,23474.0,13430.0,14503.0,12192.0,12057.0
