,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,-1257,-1237,-1176,-2890,-1770,-8330,dire,12229.0,13528.0,11031.0,11995.0,9858.0,11323.0,5435.0,8171.0,4694.0,6118.0
1,-3782,19,1698,-1079,-1634,-4778,radiant,12386.0,15760.0,14103.0,14510.0,13425.0,11499.0,5683.0,6611.0,5209.0,6593.0
2,436,565,1438,-634,-1366,439,dire,14784.0,14072.0,12298.0,11776.0,11397.0,9875.0,7310.0,7351.0,5624.0,7141.0
3,687,-897,-65,-1179,1498,44,radiant,15570.0,13635.0,12523.0,12816.0,11440.0,11508.0,7003.0,8101.0,5976.0,4844.0
4,-1599,-1181,-642,-1162,-120,-4704,dire,16373.0,18026.0,12806.0,14204.0,11333.0,12069.0,8308.0,9628.0,6633.0,6868.0
5,-5435,-2979,-2801,-2479,-2291,-15985,dire,11848.0,17129.0,12410.0,15069.0,11353.0,14214.0,6800.0,9146.0,6574.0,8730.0
6,3055,20,-676,-3437,484,-554,radiant,15527.0,12455.0,11623.0,11709.0,10186.0,11045.0,7389.0,10689.0,6952.0,6411.0
7,-3408,104,720,-1024,60,-3548,dire,15327.0,17204.0,13086.0,12563.0,11355.0,11260.0,6733.0,7311.0,6834.0,6672.0
8,3915,2690,-562,-1592,-581,3870,radiant,15695.0,13149.0,13716.0,12982.0,10199.0,11134.0,6446.0,8145.0,4777.0,5495.0
9,1057,1578,-2976,-1053,-777,-2171,dire,12262.0,11389.0,12208.0,10647.0,9733.0,12901.0,6142.0,6923.0,5684.0,6483.0
10,2903,2156,-1201,-1805,796,2849,radiant,15574.0,13531.0,16454.0,13558.0,11297.0,12826.0,6853.0,8622.0,5869.0,4875.0
11,5073,-668,-251,228,1464,5846,radiant,17719.0,12899.0,12563.0,13608.0,8793.0,9995.0,7492.0,7170.0,7957.0,6778.0
12,2540,2053,349,870,-1209,4603,radiant,13602.0,11173.0,13196.0,11632.0,10635.0,9901.0,8830.0,8355.0,6131.0,7497.0
13,-3176,1899,-190,-982,-1089,-3538,dire,14008.0,16841.0,12417.0,10696.0,11531.0,11324.0,6670.0,7689.0,5931.0,7153.0
14,-1139,-2196,-1178,-138,-1330,-5981,radiant,12778.0,13427.0,10627.0,12640.0,8607.0,9919.0,6354.0,6643.0,4594.0,5759.0
