,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
0,12769,11037,10310,5451,4521,14026,12274,11486,8341,6291,-1257,-1237,-1176,-2890,-1770,-8330,dire,12229.0,13528.0,11031.0,11995.0,9858.0,11323.0,5435.0,8171.0,4694.0,6118.0
1,12258,14602,13348,5425,5000,16040,14583,11650,6504,6634,-3782,19,1698,-1079,-1634,-4778,radiant,12386.0,15760.0,14103.0,14510.0,13425.0,11499.0,5683.0,6611.0,5209.0,6593.0
2,14901,12305,11248,7304,5454,14465,11740,9810,7938,6820,436,565,1438,-634,-1366,439,dire,14784.0,14072.0,12298.0,11776.0,11397.0,9875.0,7310.0,7351.0,5624.0,7141.0
3,15643,12443,11205,6881,6157,14956,13340,11270,8060,4659,687,-897,-65,-1179,1498,44,radiant,15570.0,13635.0,12523.0,12816.0,11440.0,11508.0,7003.0,8101.0,5976.0,4844.0
4,16415,13152,11254,8147,6681,18014,14333,11896,9309,6801,-1599,-1181,-642,-1162,-120,-4704,dire,16373.0,18026.0,12806.0,14204.0,11333.0,12069.0,8308.0,9628.0,6633.0,6868.0
5,11914,12022,11227,6577,6421,17349,15001,14028,9056,8712,-5435,-2979,-2801,-2479,-2291,-15985,dire,11848.0,17129.0,12410.0,15069.0,11353.0,14214.0,6800.0,9146.0,6574.0,8730.0
6,16136,11884,10160,7353,6729,13081,11864,10836,10790,6245,3055,20,-676,-3437,484,-554,radiant,15527.0,12455.0,11623.0,11709.0,10186.0,11045.0,7389.0,10689.0,6952.0,6411.0
7,14862,13205,11793,6550,6597,18270,13101,11073,7574,6537,-3408,104,720,-1024,60,-3548,dire,15327.0,17204.0,13086.0,12563.0,11355.0,11260.0,6733.0,7311.0,6834.0,6672.0
8,16597,15377,10250,6474,4695,12682,12687,10812,8066,5276,3915,2690,-562,-1592,-581,3870,radiant,15695.0,13149.0,13716.0,12982.0,10199.0,11134.0,6446.0,8145.0,4777.0,5495.0
9,12567,12167,9795,6069,5499,11510,10589,12771,7122,6276,1057,1578,-2976,-1053,-777,-2171,dire,12262.0,11389.0,12208.0,10647.0,9733.0,12901.0,6142.0,6923.0,5684.0,6483.0
10,16618,15884,11250,6832,5584,13715,13728,12451,8637,4788,2903,2156,-1201,-1805,796,2849,radiant,15574.0,13531.0,16454.0,13558.0,11297.0,12826.0,6853.0,8622.0,5869.0,4875.0
11,17945,12819,9466,7330,8024,12872,13487,9717,7102,6560,5073,-668,-251,228,1464,5846,radiant,17719.0,12899.0,12563.0,13608.0,8793.0,9995.0,7492.0,7170.0,7957.0,6778.0
12,13735,13513,10726,8989,6029,11195,11460,10377,8119,7238,2540,2053,349,870,-1209,4603,radiant,13602.0,11173.0,13196.0,11632.0,10635.0,9901.0,8830.0,8355.0,6131.0,7497.0
13,13656,12711,11110,6490,5958,16832,10812,11300,7472,7047,-3176,1899,-190,-982,-1089,-3538,dire,14008.0,16841.0,12417.0,10696.0,11531.0,11324.0,6670.0,7689.0,5931.0,7153.0
14,12772,10639,8647,6422,4482,13911,12835,9825,6560,5812,-1139,-2196,-1178,-138,-1330,-5981,radiant,12778.0,13427.0,10627.0,12640.0,8607.0,9919.0,6354.0,6643.0,4594.0,5759.0
15,14436,14280,12094,8341,5698,17697,12897,10121,7012,5582,-3261,1383,1973,1329,116,1540,radiant,14044.0,17945.0,14413.0,12540.0,12062.0,10029.0,8552.0,7301.0,5947.0,5839.0
16,13149,13521,10132,7445,6470,12913,11688,11168,6878,4801,236,1833,-1036,567,1669,3269,dire,13053.0,12777.0,13348.0,11305.0,10101.0,10884.0,7360.0,7002.0,6433.0,5026.0
17,14391,11970,11399,7773,6479,12948,12632,11893,11078,6449,1443,-662,-494,-3305,30,-2988,dire,14114.0,13563.0,12071.0,12350.0,11568.0,11171.0,7377.0,11437.0,6458.0,5516.0
18,13187,11642,11268,7678,6796,16177,10966,11837,7249,6693,-2990,676,-569,429,103,-2351,dire,13589.0,16567.0,11942.0,10379.0,11313.0,12057.0,7905.0,6956.0,6921.0,6774.0
19,12289,11885,12440,7245,6952,13021,15786,10891,7438,6198,-732,-3901,1549,-193,754,-2523,dire,12328.0,12771.0,11856.0,15398.0,12845.0,10615.0,7443.0,7430.0,6759.0,5861.0
20,15037,13971,14094,8131,5581,12857,9979,8106,7648,6735,2180,3992,5988,483,-1154,11489,radiant,14859.0,12303.0,13497.0,10068.0,13675.0,8256.0,8272.0,7792.0,5745.0,6748.0
21,12435,10553,9166,5924,5320,16894,13940,11104,7261,5698,-4459,-3387,-1938,-1337,-378,-11499,dire,11672.0,16563.0,10715.0,13889.0,9110.0,10857.0,5754.0,7359.0,5383.0,5844.0
22,18364,14708,12719,9267,7514,14428,10875,10179,6520,4909,3936,3833,2540,2747,2605,15661,radiant,18182.0,14318.0,14578.0,10768.0,12705.0,10336.0,9060.0,6580.0,7735.0,5162.0
23,12594,10168,9464,6448,6682,12924,13310,14171,7448,6331,-330,-3142,-4707,-1000,351,-8828,radiant,12500.0,12616.0,9996.0,13519.0,9690.0,14129.0,6331.0,7550.0,6652.0,6612.0
