,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner
0,20421.0,22935.0,21138.0,9198.0,9234.0,23955.0,24436.0,18740.0,11479.0,11895.0,-2189,-2316,2078,-1717,-2322,-6466,radiant
1,31030.0,19346.0,17486.0,12266.0,11208.0,22915.0,19671.0,16291.0,12956.0,7082.0,8806,-815,1567,-748,4068,12878,radiant
2,27138.0,19210.0,14820.0,12456.0,10384.0,21784.0,18090.0,16327.0,15909.0,10587.0,4825,77,-2183,-4736,-1866,-3883,radiant
3,20956.0,18317.0,15076.0,9993.0,9366.0,19661.0,17416.0,17855.0,11179.0,9878.0,1183,1057,-2891,-1343,-542,-2536,dire
4,29373.0,20299.0,13955.0,13157.0,12114.0,22450.0,19395.0,14442.0,11236.0,9742.0,6318,1082,-432,1743,2612,11323,radiant
5,23773.0,20849.0,17565.0,15882.0,11189.0,18382.0,17060.0,15947.0,11118.0,9696.0,5129,3211,1271,4536,936,15083,radiant
6,21013.0,19941.0,15229.0,10717.0,10049.0,26586.0,16474.0,16513.0,12560.0,11774.0,-4275,1555,-1557,-1393,-1293,-6963,dire
7,20403.0,16833.0,14314.0,9966.0,7537.0,23115.0,18868.0,14632.0,12200.0,8876.0,-2613,-1231,196,-1987,-767,-6402,radiant
8,20398.0,19131.0,13916.0,10393.0,8440.0,20410.0,17725.0,17790.0,10091.0,7810.0,780,2059,-3081,492,568,818,dire
9,17667.0,17312.0,15817.0,11518.0,10380.0,28197.0,19798.0,16798.0,12465.0,11857.0,-10875,-2015,-1052,-988,-1844,-16774,dire
10,22499.0,17581.0,18672.0,15274.0,10551.0,25400.0,23189.0,19496.0,13473.0,11218.0,-1145,-3976,-392,3107,337,-2069,dire
11,19719.0,16737.0,14276.0,9833.0,9860.0,26498.0,21046.0,18124.0,11380.0,9017.0,-6343,-4379,-4133,-1702,551,-16006,dire
12,19933.0,17475.0,15413.0,12356.0,11381.0,20405.0,19704.0,18573.0,11705.0,10526.0,-3,-1362,-3379,965,1014,-2765,radiant
13,20376.0,16555.0,12936.0,9995.0,8754.0,25715.0,25101.0,20038.0,12880.0,11340.0,-5346,-8211,-6639,-2650,-2147,-24993,dire
14,20020.0,19763.0,15897.0,12020.0,10014.0,22317.0,16132.0,17354.0,9108.0,7916.0,-1806,3698,-430,3003,2576,7041,dire
15,22840.0,20551.0,18275.0,12275.0,9424.0,23017.0,23994.0,14697.0,9768.0,9229.0,-1296,-4460,2716,2118,-321,-1243,radiant
16,25024.0,17331.0,14233.0,15289.0,10462.0,20127.0,18903.0,15132.0,11187.0,9344.0,4877,-1924,-588,3860,778,7003,radiant
17,21890.0,13250.0,12772.0,11299.0,11092.0,24307.0,17507.0,15014.0,9684.0,10251.0,-1895,-4305,-2628,1623,640,-6565,dire
18,23574.0,20983.0,20507.0,11011.0,9363.0,17489.0,20000.0,12457.0,11794.0,10415.0,4024,1909,6232,-562,-1181,10422,radiant
19,24650.0,19129.0,15229.0,11495.0,11065.0,20434.0,20036.0,18135.0,11359.0,11366.0,3642,-642,-2912,107,-385,-190,dire
20,23291.0,18978.0,13825.0,9875.0,9298.0,23973.0,20731.0,14755.0,12566.0,11404.0,-956,-1536,-1022,-2483,-1878,-7875,radiant
21,21159.0,17929.0,11338.0,9273.0,7794.0,25909.0,19506.0,16155.0,10971.0,10659.0,-4979,-1196,-4651,-1431,-2695,-14952,dire
22,25722.0,16734.0,14125.0,11277.0,9345.0,23966.0,17895.0,18381.0,12617.0,11663.0,2028,-1535,-4099,-1326,-2620,-7552,radiant
23,16494.0,19756.0,16248.0,10999.0,14326.0,22255.0,22309.0,15678.0,13831.0,12917.0,-6125,-2192,506,-3063,1264,-9610,dire
24,19461.0,18678.0,17340.0,14220.0,9377.0,24009.0,22508.0,17762.0,14038.0,14053.0,-4146,-3981,-708,-250,-4841,-13926,dire
25,22194.0,17850.0,13319.0,10842.0,12694.0,24782.0,25457.0,17123.0,11409.0,8483.0,-3038,-7613,-4194,-527,4579,-10793,radiant
26,17464.0,15985.0,16727.0,7673.0,7091.0,23306.0,19879.0,19704.0,11337.0,8098.0,-5819,-4144,-2735,-3935,-1243,-17876,dire
27,24897.0,15992.0,14539.0,8775.0,8142.0,22976.0,21580.0,21066.0,12371.0,11280.0,2231,-5866,-7100,-3920,-3344,-17999,dire
28,20994.0,17880.0,16390.0,10245.0,6834.0,28148.0,21395.0,18192.0,14449.0,12962.0,-6139,-2908,-1442,-4111,-5948,-20548,dire
29,20745.0,17257.0,10346.0,8137.0,6812.0,18635.0,18788.0,13922.0,11324.0,9254.0,890,-2035,-3979,-3492,-2695,-11311,dire
30,26699.0,16372.0,15253.0,10779.0,9229.0,17089.0,18282.0,17340.0,10256.0,9872.0,9420,-1864,-2417,340,-569,4910,radiant
31,23031.0,20353.0,18982.0,10268.0,9776.0,27309.0,20342.0,15530.0,11800.0,11682.0,-4622,-247,3529,-1397,-1951,-4688,radiant
32,26491.0,20627.0,17895.0,10369.0,10587.0,21846.0,18906.0,16434.0,10186.0,8148.0,6239,2583,2307,885,3082,15096,radiant
33,18236.0,17527.0,16830.0,10203.0,9267.0,23195.0,22303.0,18193.0,17313.0,13061.0,-5461,-4404,-1062,-7077,-3713,-21717,dire
34,18397.0,17846.0,15488.0,15121.0,11070.0,23948.0,18141.0,18232.0,11621.0,11462.0,-6233,-756,-2893,2738,-236,-7380,dire
35,19575.0,19746.0,18489.0,12600.0,10473.0,22310.0,19116.0,16543.0,9412.0,8486.0,-2553,54,1980,2854,1990,4325,radiant
36,23397.0,19813.0,18959.0,10151.0,8458.0,25787.0,21877.0,18042.0,11627.0,11665.0,-2952,-2123,445,-1373,-3319,-9322,dire
37,24442.0,18782.0,14645.0,10668.0,8372.0,21346.0,14070.0,16820.0,13563.0,10318.0,4240,4940,-1675,-2238,-1560,3707,dire
38,18595.0,19053.0,14177.0,9725.0,7245.0,21737.0,18052.0,16288.0,14020.0,13914.0,-3938,1210,-1766,-4623,-6887,-16004,dire
39,18767.0,19324.0,15862.0,12045.0,11048.0,20411.0,20657.0,19008.0,12051.0,10564.0,-2044,-1543,-3372,-56,-138,-7153,dire
40,21163.0,18724.0,16579.0,8767.0,8657.0,22466.0,19211.0,18961.0,9955.0,8155.0,-1564,-564,-2202,-1112,493,-4949,radiant
41,31722.0,23088.0,17056.0,13599.0,12526.0,18788.0,18115.0,15526.0,10512.0,8535.0,9989,4465,1091,3302,3986,22833,radiant
42,18204.0,18331.0,16578.0,10505.0,6588.0,27087.0,18599.0,16964.0,10869.0,9802.0,-10052,-1250,-1421,-802,-3685,-17210,dire
43,26020.0,20941.0,19632.0,11733.0,10963.0,20338.0,19058.0,18591.0,10934.0,7969.0,5107,1635,796,848,2810,11196,radiant
44,21760.0,15396.0,15545.0,8781.0,8183.0,24812.0,15381.0,15076.0,10670.0,11148.0,-2873,-294,607,-2123,-3037,-7720,dire
