,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517420109,80,70,23,63,100,2,25,17,45,110,-3703,-2559,1454,-1211,-3943,-9962,40,radiant,26341.0,29747.0,25626.0,29161.0,24455.0,22032.0,13257.0,14616.0,10213.0,13844.0
1,7517586007,46,42,97,50,86,22,29,71,14,26,2905,-854,-4013,-7306,-3095,-12363,40,radiant,30209.0,27369.0,21823.0,22192.0,17010.0,20544.0,13117.0,20234.0,11137.0,14285.0
2,7519118314,53,10,20,136,51,48,80,23,112,83,2600,4923,-787,-869,2214,8081,40,dire,25751.0,23663.0,24428.0,18684.0,19432.0,20153.0,13347.0,13185.0,12977.0,11274.0
3,7519553415,59,76,23,112,20,53,106,96,51,5,-9220,-477,-2250,-3285,-2219,-17451,40,dire,25330.0,32215.0,22254.0,22457.0,18394.0,21190.0,12787.0,15159.0,11621.0,13925.0
4,7519735705,10,39,129,79,83,113,22,104,86,102,2025,1224,899,-384,-529,3235,40,radiant,29351.0,27009.0,22048.0,21025.0,18448.0,16250.0,13318.0,12987.0,10726.0,10447.0
5,7520505806,10,120,78,51,26,13,41,71,20,68,372,2237,-1959,1408,-734,1324,40,dire,25786.0,25125.0,22989.0,20388.0,16315.0,19114.0,13514.0,11689.0,9647.0,9840.0
6,7520723202,76,28,71,58,40,10,98,61,79,136,-1290,-4130,1493,4672,1070,1815,40,dire,27802.0,29054.0,22090.0,25471.0,21539.0,20558.0,19402.0,14502.0,13355.0,12089.0
7,7521011714,10,102,59,112,66,44,17,43,71,5,-53,-862,-4401,-328,754,-4890,40,radiant,24686.0,24120.0,21984.0,22634.0,17375.0,20881.0,15266.0,14786.0,13288.0,12926.0
8,7521480417,12,107,21,85,138,10,129,137,26,100,-1476,3557,-503,2730,2534,6842,40,dire,24196.0,26121.0,22280.0,18633.0,18904.0,19269.0,13308.0,10418.0,11502.0,9090.0
9,7522292402,1,35,14,22,64,44,11,129,84,86,-159,-2255,4766,3451,600,6403,40,radiant,27923.0,28857.0,23855.0,26744.0,21162.0,16835.0,15492.0,12691.0,11229.0,10877.0
10,7522384400,95,137,110,97,101,25,28,135,86,26,3010,-4713,-465,3518,-927,423,40,radiant,29381.0,24770.0,18748.0,23535.0,16874.0,17927.0,17002.0,12373.0,11510.0,11537.0
11,7522545002,93,47,110,20,14,25,29,70,27,121,-2182,-6256,-4583,1290,619,-11112,40,dire,26726.0,27906.0,14259.0,20331.0,13389.0,17564.0,12349.0,10611.0,11934.0,11496.0
12,7522558918,39,21,15,100,20,90,102,29,112,121,2139,1116,6952,-1351,-1639,7217,40,radiant,26994.0,23337.0,24039.0,22312.0,23183.0,15746.0,12608.0,13526.0,10937.0,12393.0
