,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner
0,15104.0,19063.0,16022.0,6947.0,6602.0,19578.0,20099.0,15602.0,9467.0,8814.0,-4505,-1260,411,-2717,-2223,-10294,radiant
1,18155.0,14831.0,13401.0,9209.0,7618.0,19716.0,16455.0,12879.0,10539.0,9064.0,-1903,-3073,-285,-1437,-1946,-8644,dire
2,21487.0,15477.0,13551.0,8349.0,7553.0,19501.0,16902.0,13566.0,11373.0,5995.0,1846,-979,-38,-3350,1865,-656,radiant
3,18650.0,15327.0,12574.0,8465.0,7906.0,17884.0,15141.0,14008.0,13509.0,8110.0,1424,571,-913,-4331,-323,-3572,radiant
4,21277.0,20735.0,12558.0,8244.0,6204.0,17416.0,16615.0,15085.0,10592.0,7643.0,5345,5182,-1522,-1501,-1011,6493,radiant
5,16878.0,14257.0,11428.0,7535.0,7174.0,15674.0,13840.0,15101.0,9804.0,8133.0,1088,-1153,-3989,-1416,-1178,-6648,dire
6,21747.0,19153.0,14095.0,9065.0,7580.0,18903.0,17622.0,14993.0,11301.0,6340.0,3178,1512,-1013,-2292,990,2375,radiant
7,22063.0,15542.0,11578.0,10255.0,10167.0,16469.0,16496.0,11856.0,8910.0,8060.0,5939,-1321,372,2579,2225,9794,radiant
8,19226.0,16818.0,13532.0,12641.0,8011.0,15095.0,14225.0,13800.0,10023.0,9300.0,4111,1240,-465,2087,-1309,5664,radiant
9,17921.0,16156.0,13328.0,8392.0,8533.0,20372.0,13469.0,13212.0,10318.0,9184.0,-2701,2796,43,-1960,-1366,-3188,dire
10,16157.0,13068.0,11493.0,8075.0,5681.0,17215.0,16064.0,11962.0,9353.0,7416.0,-2015,-2543,-801,-1298,-1926,-8583,radiant
11,19692.0,18804.0,15574.0,11288.0,9332.0,21676.0,15574.0,12948.0,9580.0,6944.0,-1604,4032,2945,1547,2462,9382,radiant
12,17572.0,16400.0,12158.0,9096.0,7791.0,16071.0,14420.0,13326.0,8129.0,5998.0,1453,2225,-1065,1159,1743,5515,dire
13,15437.0,15134.0,13425.0,8696.0,7739.0,19078.0,18327.0,16214.0,15636.0,9129.0,-4109,-3769,-1395,-6419,-1438,-17130,dire
14,15890.0,14124.0,13414.0,10085.0,8976.0,21177.0,14534.0,14917.0,9620.0,9299.0,-5339,-627,-1886,629,-282,-7505,dire
15,16649.0,13977.0,15317.0,10207.0,8263.0,18448.0,19420.0,14728.0,9750.0,7845.0,-3105,-5491,56,-153,-128,-8821,dire
16,16104.0,12926.0,11617.0,7752.0,7510.0,21800.0,17059.0,12958.0,9011.0,7418.0,-6516,-4130,-1790,-1319,-150,-13905,dire
17,16178.0,12922.0,11703.0,8479.0,8801.0,17376.0,17045.0,17036.0,10308.0,7955.0,-1176,-3624,-3892,-1266,749,-9209,radiant
18,16082.0,14223.0,11563.0,7997.0,7470.0,21470.0,19756.0,16685.0,10984.0,9236.0,-5410,-5407,-5294,-2435,-1595,-20141,dire
19,15186.0,16263.0,13287.0,8952.0,7704.0,18033.0,13408.0,14672.0,7633.0,6752.0,-3120,2109,-1358,1355,1452,438,dire
20,18733.0,17689.0,15375.0,10004.0,7626.0,17786.0,19018.0,12485.0,7180.0,7706.0,456,-2264,1916,2742,-278,2572,radiant
21,19573.0,13835.0,11022.0,12664.0,8591.0,16038.0,15695.0,13185.0,9399.0,7454.0,3648,-1704,-2157,3203,1133,4123,radiant
22,17006.0,10032.0,9613.0,8564.0,8386.0,19226.0,15422.0,13661.0,8714.0,8830.0,-3380,-5263,-3869,333,-532,-12711,dire
23,19102.0,18006.0,16193.0,8979.0,8342.0,14602.0,14208.0,10381.0,9344.0,8702.0,4472,4105,6324,-205,-283,14413,radiant
24,19459.0,15491.0,12647.0,9527.0,8893.0,17115.0,16498.0,15607.0,9962.0,8526.0,2751,-574,-2519,-219,483,-78,dire
25,19659.0,15399.0,10745.0,8063.0,7301.0,18896.0,18154.0,11771.0,8976.0,9463.0,411,-2525,-1192,-894,-1730,-5930,radiant
26,17268.0,14480.0,9798.0,7632.0,6940.0,21591.0,15277.0,14386.0,9459.0,8629.0,-3066,-396,-4333,-1490,-1353,-10638,dire
27,20977.0,13249.0,11533.0,9919.0,7814.0,18449.0,15171.0,13315.0,9148.0,8544.0,3417,-1315,-1374,778,-602,904,radiant
28,13166.0,15666.0,12733.0,8357.0,12246.0,18685.0,17705.0,14042.0,11830.0,10531.0,-5965,-2329,-809,-3085,1224,-10964,dire
29,15964.0,15799.0,13776.0,11910.0,8380.0,20257.0,17527.0,14495.0,11311.0,11446.0,-3375,-2238,184,1596,-2820,-6653,dire
30,18256.0,15562.0,10941.0,9124.0,11057.0,18602.0,18854.0,13309.0,7999.0,6212.0,-1371,-4393,-3238,278,4922,-3802,radiant
31,14645.0,14177.0,13223.0,11192.0,7695.0,20569.0,16576.0,14413.0,9401.0,8727.0,-4865,-2165,-741,2146,-1076,-6701,dire
32,14137.0,13126.0,14170.0,6794.0,5358.0,17767.0,16456.0,16515.0,9586.0,7204.0,-3655,-3477,-2369,-2917,-1586,-14004,dire
33,19294.0,14147.0,12712.0,7268.0,6921.0,20205.0,18743.0,17252.0,10541.0,10093.0,-41,-4107,-4727,-2798,-2939,-14612,dire
34,21277.0,17120.0,13547.0,12239.0,9205.0,14826.0,13529.0,13309.0,9311.0,7937.0,8343,4271,930,3179,1834,18557,radiant
35,17541.0,16289.0,13947.0,8518.0,5917.0,22093.0,19541.0,16236.0,12751.0,10720.0,-5101,-2071,-1360,-3818,-4475,-16825,dire
36,17084.0,14175.0,8884.0,7474.0,6149.0,15324.0,15131.0,12123.0,9369.0,7693.0,1793,-639,-3198,-1938,-1615,-5597,dire
37,20758.0,13357.0,11953.0,8716.0,7175.0,13994.0,15719.0,14608.0,8490.0,8728.0,6461,-2542,-2340,419,-1576,422,radiant
38,21938.0,17367.0,15197.0,10922.0,9526.0,14978.0,12673.0,12814.0,6737.0,6210.0,7182,5971,3339,5009,4365,25866,radiant
39,24703.0,15339.0,13784.0,8891.0,8411.0,16931.0,12758.0,12423.0,8029.0,7321.0,8201,3052,1549,1745,1190,15737,radiant
40,18691.0,15908.0,15711.0,8668.0,8498.0,20875.0,15580.0,12342.0,9693.0,10309.0,-1984,1746,3661,-541,-1560,1322,radiant
41,17920.0,17684.0,15323.0,11751.0,7214.0,16466.0,16708.0,15508.0,12116.0,8296.0,456,797,-1994,-482,-1641,-2864,dire
42,20694.0,16574.0,15186.0,8386.0,8191.0,17920.0,15414.0,13889.0,8891.0,6766.0,4098,1886,1817,-10,1428,9219,radiant
43,12936.0,12470.0,11401.0,9261.0,5956.0,18969.0,18873.0,16033.0,16486.0,11804.0,-5349,-6200,-4957,-6907,-6428,-29841,dire
44,16535.0,14832.0,15541.0,8970.0,8629.0,17991.0,17215.0,14362.0,13224.0,10168.0,-1122,-2333,982,-4184,-1573,-8230,dire
45,15135.0,16005.0,12091.0,12522.0,9448.0,18843.0,13335.0,14591.0,9207.0,10314.0,-3841,1977,-2077,3709,-712,-944,dire
46,21539.0,15626.0,15033.0,10173.0,8805.0,21121.0,15521.0,15003.0,11897.0,7914.0,467,-885,-664,-3139,347,-3874,dire
47,14587.0,16741.0,14636.0,10546.0,8623.0,18788.0,14655.0,13347.0,7492.0,7278.0,-3579,1619,1316,2935,1279,3570,radiant
48,19231.0,17501.0,16444.0,8834.0,7441.0,20210.0,17830.0,14565.0,9874.0,9831.0,-630,-497,1619,-1035,-2507,-3050,dire
49,18836.0,15538.0,12882.0,9393.0,6444.0,17233.0,11464.0,13431.0,9185.0,7772.0,2083,4221,-188,-195,-926,4995,dire
50,14952.0,16533.0,12262.0,7633.0,6239.0,16664.0,16472.0,13211.0,11831.0,11123.0,-2085,-380,-1142,-4536,-5647,-13790,dire
51,15175.0,14994.0,12656.0,9664.0,8225.0,17334.0,16655.0,15979.0,9004.0,8952.0,-1764,-1456,-2891,743,-412,-5780,dire
52,16963.0,14097.0,11693.0,9840.0,8553.0,21445.0,18065.0,16423.0,9827.0,9249.0,-4621,-3289,-4440,35,-433,-12748,dire
53,18286.0,15441.0,15284.0,7533.0,7413.0,18252.0,17082.0,15785.0,8438.0,6816.0,-464,-1722,-831,-949,708,-3258,radiant
54,26896.0,18725.0,14083.0,11766.0,10319.0,15910.0,16208.0,13565.0,8262.0,7481.0,11230,3352,438,3658,2711,21389,radiant
55,13560.0,14947.0,13831.0,8399.0,5387.0,21126.0,15598.0,13040.0,8902.0,7236.0,-6325,-520,1078,-901,-2238,-8906,dire
56,19856.0,15783.0,15761.0,9965.0,8350.0,18834.0,16792.0,16241.0,9543.0,7196.0,1963,-11,-263,596,1749,4034,radiant
57,24562.0,13791.0,13627.0,12234.0,9608.0,13235.0,13235.0,12221.0,8102.0,7921.0,11809,1082,1645,4704,1952,21192,radiant
58,21183.0,20037.0,14722.0,11879.0,9888.0,13998.0,11577.0,10057.0,7168.0,5500.0,8589,9498,6109,5088,5242,34526,radiant
59,18101.0,11968.0,12961.0,7334.0,6939.0,19769.0,12986.0,12659.0,8239.0,9720.0,-1913,-950,470,-805,-2208,-5406,dire
60,16269.0,13578.0,13751.0,7679.0,7183.0,20911.0,15880.0,12368.0,12070.0,9642.0,-6779,-3007,483,-5086,-3211,-17600,dire
61,13234.0,13960.0,13991.0,12077.0,8049.0,24546.0,19573.0,14473.0,10643.0,8223.0,-11026,-5750,-499,1538,-289,-16026,dire
62,17523.0,13981.0,11637.0,12978.0,7020.0,22285.0,18991.0,15739.0,13153.0,9148.0,-3741,-3525,-3735,-10,-1421,-12432,dire
63,18491.0,17885.0,15691.0,10551.0,7340.0,17372.0,15529.0,14532.0,13152.0,7083.0,936,2298,1052,-2552,251,1985,dire
64,18234.0,14229.0,12891.0,10998.0,9558.0,17763.0,16342.0,14757.0,13244.0,14051.0,713,-1483,-1920,-2406,-4147,-9243,dire
65,17706.0,14757.0,10677.0,8698.0,8714.0,15133.0,15868.0,13854.0,10597.0,7341.0,2836,-891,-2366,-2221,1622,-1020,dire
66,18093.0,16331.0,11859.0,8356.0,7975.0,17101.0,14178.0,13484.0,8536.0,8548.0,542,1650,-2403,-760,-1187,-2158,dire
67,22109.0,19104.0,18990.0,13934.0,11588.0,19895.0,17530.0,14756.0,7989.0,10824.0,2785,1690,4358,5857,711,15401,radiant
68,24331.0,16853.0,16628.0,8296.0,8204.0,20017.0,15602.0,14679.0,8609.0,6815.0,4602,1073,2236,-533,1372,8750,radiant
69,21089.0,16200.0,13130.0,9598.0,7659.0,13712.0,11031.0,11570.0,10820.0,6844.0,8088,5440,1671,-877,769,15091,radiant
70,17455.0,18240.0,15828.0,10078.0,9820.0,18612.0,16156.0,9998.0,7680.0,6814.0,-728,1566,6003,3415,2884,13140,radiant
71,21456.0,15285.0,13160.0,11245.0,8086.0,21568.0,15127.0,13473.0,9503.0,8490.0,234,700,260,1879,-11,3062,radiant
72,11926.0,11018.0,10730.0,7768.0,6297.0,19189.0,18070.0,15159.0,12096.0,10441.0,-7813,-8018,-4704,-4812,-4745,-30092,dire
