,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
0,21881,22390,20561,9727,9308,24070,24706,18483,11444,11630,-2189,-2316,2078,-1717,-2322,-6466,radiant,20421.0,23955.0,22935.0,24436.0,21138.0,18740.0,9198.0,11479.0,9234.0,11895.0
1,31297,19355,18152,12004,11047,22491,20170,16585,12752,6979,8806,-815,1567,-748,4068,12878,radiant,31030.0,22915.0,19346.0,19671.0,17486.0,16291.0,12266.0,12956.0,11208.0,7082.0
2,26232,18859,14557,12036,10334,21407,18782,16740,16772,12200,4825,77,-2183,-4736,-1866,-3883,radiant,27138.0,21784.0,19210.0,18090.0,14820.0,16327.0,12456.0,15909.0,10384.0,10587.0
3,20814,18014,14897,9711,9141,19631,16957,17788,11054,9683,1183,1057,-2891,-1343,-542,-2536,dire,20956.0,19661.0,18317.0,17416.0,15076.0,17855.0,9993.0,11179.0,9366.0,9878.0
4,29773,20672,14368,13112,12210,23455,19590,14800,11369,9598,6318,1082,-432,1743,2612,11323,radiant,29373.0,22450.0,20299.0,19395.0,13955.0,14442.0,13157.0,11236.0,12114.0,9742.0
5,24588,21041,17335,16050,11065,19459,17830,16064,11514,10129,5129,3211,1271,4536,936,15083,radiant,23773.0,18382.0,20849.0,17060.0,17565.0,15947.0,15882.0,11118.0,11189.0,9696.0
6,22913,19396,15951,10937,10296,27188,17841,17508,12330,11589,-4275,1555,-1557,-1393,-1293,-6963,dire,21013.0,26586.0,19941.0,16474.0,15229.0,16513.0,10717.0,12560.0,10049.0,11774.0
7,20688,17242,14578,10079,7869,23301,18473,14382,12066,8636,-2613,-1231,196,-1987,-767,-6402,radiant,20403.0,23115.0,16833.0,18868.0,14314.0,14632.0,9966.0,12200.0,7537.0,8876.0
8,21337,19761,14193,10932,8809,20557,17702,17274,10440,8241,780,2059,-3081,492,568,818,dire,20398.0,20410.0,19131.0,17725.0,13916.0,17790.0,10393.0,10091.0,8440.0,7810.0
9,17422,17387,15515,11301,10261,28297,19402,16567,12289,12105,-10875,-2015,-1052,-988,-1844,-16774,dire,17667.0,28197.0,17312.0,19798.0,15817.0,16798.0,11518.0,12465.0,10380.0,11857.0
