,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517376613,25,8,84,26,5,77,54,23,68,86,-637,-586,-512,-781,-696,-3212,20,dire,8753.0,10309.0,8307.0,8633.0,8456.0,7739.0,4077.0,4216.0,3226.0,3944.0
1,7517420109,80,70,23,63,100,2,25,17,45,110,-3687,269,1462,-450,-1054,-3460,20,radiant,8672.0,13139.0,9840.0,9597.0,9402.0,8538.0,3960.0,4419.0,3976.0,4953.0
2,7517437309,10,104,19,45,64,7,67,53,71,102,-97,-390,2082,416,-1117,894,20,dire,10213.0,9764.0,8264.0,8925.0,8649.0,6581.0,5148.0,4756.0,3827.0,4809.0
3,7517480603,1,33,11,100,30,44,19,57,21,5,1334,642,402,-500,890,2768,20,radiant,10374.0,9204.0,10046.0,9695.0,8713.0,8496.0,4113.0,4982.0,3782.0,3401.0
4,7517522012,69,10,76,83,86,12,129,28,26,87,257,151,-507,60,84,45,20,dire,11323.0,10976.0,9750.0,9506.0,8551.0,8789.0,6383.0,5584.0,4435.0,4803.0
5,7517581617,43,21,129,110,26,14,120,102,68,86,-2654,-2719,-2366,-1782,-1795,-11316,20,dire,9436.0,11715.0,9005.0,12519.0,7740.0,9983.0,4944.0,6286.0,4207.0,5666.0
6,7517586007,46,42,97,50,86,22,29,71,14,26,1364,-851,563,-3092,854,-1162,20,radiant,10334.0,8533.0,8231.0,8804.0,8866.0,8116.0,5381.0,8130.0,4998.0,3976.0
7,7517639708,48,51,61,5,26,69,6,39,114,84,-2883,150,-58,-765,-54,-3610,20,dire,10493.0,12763.0,8442.0,8254.0,8215.0,8106.0,3865.0,4994.0,4159.0,4597.0
8,7519064617,6,25,129,7,84,104,101,44,53,85,-120,-551,-9,-1063,-591,-2334,20,radiant,9486.0,9705.0,8905.0,9535.0,7891.0,8084.0,4290.0,5120.0,3098.0,3512.0
9,7519118314,53,10,20,136,51,48,80,23,112,83,1520,1299,-1707,144,-85,1171,20,dire,9012.0,7238.0,9997.0,7645.0,8206.0,9046.0,4896.0,4182.0,4341.0,4353.0
10,7519162603,61,102,96,64,45,10,28,120,121,20,2123,1710,1905,2551,2451,10740,20,radiant,11247.0,9373.0,9333.0,7139.0,9275.0,8499.0,7422.0,5024.0,5868.0,3662.0
11,7519175015,54,14,96,5,79,10,17,2,88,20,1890,3259,90,-802,634,5071,20,radiant,10941.0,9629.0,12316.0,9115.0,8978.0,9236.0,5417.0,6215.0,3792.0,3292.0
12,7519190619,65,113,47,136,66,109,93,96,5,85,4338,-2284,-578,752,1284,3512,20,radiant,12367.0,8407.0,8970.0,10661.0,6564.0,7647.0,5725.0,5285.0,6069.0,4895.0
13,7519467519,21,25,14,121,51,94,69,80,66,5,2185,127,887,-72,-1544,1583,20,radiant,9393.0,8154.0,9515.0,9002.0,8543.0,6951.0,5844.0,5621.0,4144.0,5602.0
14,7519553415,59,76,23,112,20,53,106,96,51,5,-943,2934,22,40,-751,1302,20,dire,10560.0,9827.0,9621.0,6737.0,8154.0,7781.0,4894.0,4490.0,4189.0,4915.0
15,7519656307,61,1,23,121,45,113,98,20,100,26,-1294,-3699,-2372,-2485,-1628,-11478,20,dire,9569.0,10135.0,6607.0,10288.0,5867.0,8170.0,4076.0,5849.0,3675.0,5164.0
16,7519735705,10,39,129,79,83,113,22,104,86,102,-1557,-1671,-1514,292,-1390,-5840,20,radiant,8985.0,10261.0,8215.0,9547.0,6601.0,7591.0,4915.0,4005.0,3420.0,4389.0
17,7519862310,61,19,23,58,92,4,25,21,20,31,3332,4367,2174,2844,2948,15665,20,radiant,11478.0,8072.0,10756.0,6178.0,8375.0,6518.0,7762.0,5367.0,6607.0,4079.0
