,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517420109,80,70,23,63,100,2,25,17,45,110,-4505,-1260,411,-2717,-2223,-10294,30,radiant,14957.0,19415.0,19029.0,20081.0,15918.0,15438.0,6732.0,9145.0,6515.0,8627.0
1,7517437309,10,104,19,45,64,7,67,53,71,102,-1903,-3073,-285,-1437,-1946,-8644,30,dire,18301.0,19663.0,14495.0,16645.0,13282.0,12644.0,8875.0,10361.0,7438.0,8992.0
2,7517480603,1,33,11,100,30,44,19,57,21,5,1846,-979,-38,-3350,1865,-656,30,radiant,21774.0,19404.0,15413.0,16817.0,13285.0,13444.0,8286.0,11156.0,7280.0,5998.0
3,7517586007,46,42,97,50,86,22,29,71,14,26,1424,571,-913,-4331,-323,-3572,30,radiant,18551.0,17903.0,15259.0,14999.0,12503.0,13741.0,8366.0,13378.0,7488.0,7858.0
4,7519064617,6,25,129,7,84,104,101,44,53,85,5345,5182,-1522,-1501,-1011,6493,30,radiant,21234.0,17056.0,20771.0,16496.0,12476.0,14942.0,8019.0,10376.0,6283.0,7672.0
5,7519118314,53,10,20,136,51,48,80,23,112,83,1088,-1153,-3989,-1416,-1178,-6648,30,dire,16570.0,15440.0,14350.0,13707.0,11232.0,14970.0,7471.0,9792.0,7086.0,8247.0
6,7519175015,54,14,96,5,79,10,17,2,88,20,3178,1512,-1013,-2292,990,2375,30,radiant,21266.0,19082.0,18873.0,17460.0,14160.0,14905.0,9084.0,11097.0,7301.0,6145.0
7,7519190619,65,113,47,136,66,109,93,96,5,85,5939,-1321,372,2579,2225,9794,30,radiant,21942.0,16429.0,15724.0,16445.0,11194.0,11939.0,10215.0,8930.0,10165.0,8098.0
8,7519467519,21,25,14,121,51,94,69,80,66,5,4111,1240,-465,2087,-1309,5664,30,radiant,19090.0,15067.0,16740.0,13858.0,13393.0,13671.0,12759.0,10018.0,7932.0,9321.0
9,7519553415,59,76,23,112,20,53,106,96,51,5,-2701,2796,43,-1960,-1366,-3188,30,dire,17756.0,20033.0,15886.0,13503.0,13159.0,13291.0,8376.0,10264.0,8350.0,9202.0
10,7519735705,10,39,129,79,83,113,22,104,86,102,-2015,-2543,-801,-1298,-1926,-8583,30,radiant,16272.0,17378.0,12968.0,16000.0,11433.0,11622.0,7797.0,8944.0,5749.0,7336.0
11,7520266915,109,114,84,123,30,17,10,21,97,5,-1604,4032,2945,1547,2462,9382,30,radiant,19682.0,21557.0,19065.0,15691.0,15759.0,12764.0,11397.0,9526.0,9115.0,6953.0
12,7520505806,10,120,78,51,26,13,41,71,20,68,1453,2225,-1065,1159,1743,5515,30,dire,17716.0,15902.0,16719.0,14386.0,11407.0,13080.0,9027.0,7921.0,7535.0,5183.0
13,7520536407,93,7,104,45,100,53,18,84,52,88,-4109,-3769,-1395,-6419,-1438,-17130,30,dire,15364.0,18719.0,15022.0,18231.0,13091.0,16396.0,8355.0,15553.0,7656.0,8920.0
14,7520694012,81,52,135,20,75,18,42,97,9,101,-5339,-627,-1886,629,-282,-7505,30,dire,15530.0,21056.0,14019.0,14471.0,13636.0,14841.0,9888.0,9417.0,8643.0,9180.0
15,7520723202,76,28,71,58,40,10,98,61,79,136,-3105,-5491,56,-153,-128,-8821,30,dire,16399.0,18623.0,13872.0,19447.0,15004.0,14843.0,10126.0,9500.0,8329.0,7786.0
16,7520855809,98,21,96,121,112,47,61,129,91,26,-6516,-4130,-1790,-1319,-150,-13905,30,dire,16069.0,21663.0,12715.0,17147.0,11696.0,12878.0,7880.0,9275.0,7485.0,7163.0
17,7521011714,10,102,59,112,66,44,17,43,71,5,-1176,-3624,-3892,-1266,749,-9209,30,radiant,16316.0,17252.0,12838.0,16899.0,11415.0,16553.0,8458.0,10121.0,8790.0,7970.0
18,7521225303,46,49,76,58,26,82,14,69,63,123,-5410,-5407,-5294,-2435,-1595,-20141,30,dire,15931.0,21334.0,14133.0,19510.0,11279.0,16281.0,7876.0,10794.0,7203.0,9329.0
19,7521480417,12,107,21,85,138,10,129,137,26,100,-3120,2109,-1358,1355,1452,438,30,dire,15048.0,18192.0,16228.0,13327.0,13090.0,14542.0,8973.0,7371.0,7262.0,6670.0
