,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner
0,26318.0,25655.0,24362.0,13441.0,10270.0,30117.0,29063.0,22153.0,14927.0,14030.0,-3703,-2559,1454,-1211,-3943,-9962,radiant
1,30164.0,21978.0,17098.0,13155.0,11486.0,27272.0,22253.0,21011.0,20504.0,14455.0,2905,-854,-4013,-7306,-3095,-12363,radiant
2,26247.0,24152.0,19662.0,13338.0,13016.0,23782.0,18826.0,20148.0,13168.0,11120.0,2600,4923,-787,-869,2214,8081,dire
3,25400.0,22574.0,18438.0,12781.0,11827.0,32843.0,22428.0,21110.0,15181.0,13918.0,-9220,-477,-2250,-3285,-2219,-17451,dire
4,29024.0,22177.0,18508.0,13542.0,10544.0,26740.0,21029.0,16655.0,13313.0,10541.0,2025,1224,899,-384,-529,3235,radiant
5,25501.0,22638.0,17020.0,13544.0,9862.0,25479.0,20414.0,19532.0,11877.0,10503.0,372,2237,-1959,1408,-734,1324,dire
6,28062.0,22093.0,22012.0,19396.0,13233.0,28688.0,25438.0,20498.0,14757.0,12106.0,-1290,-4130,1493,4672,1070,1815,dire
7,24413.0,22099.0,17573.0,15230.0,13252.0,24373.0,22793.0,21409.0,15120.0,12916.0,-53,-862,-4401,-328,754,-4890,radiant
8,24078.0,22257.0,19011.0,13283.0,11854.0,25789.0,18734.0,19371.0,10622.0,9142.0,-1476,3557,-503,2730,2534,6842,dire
9,27596.0,24269.0,21512.0,15579.0,11365.0,29029.0,27482.0,16930.0,12543.0,11236.0,-159,-2255,4766,3451,600,6403,radiant
10,29238.0,18810.0,17016.0,17099.0,11616.0,24723.0,23506.0,17660.0,12715.0,11735.0,3010,-4713,-465,3518,-927,423,radiant
11,26736.0,14612.0,13529.0,12549.0,12069.0,27829.0,20381.0,17608.0,10802.0,11305.0,-2182,-6256,-4583,1290,619,-11112,dire
12,27088.0,24099.0,23294.0,12645.0,11135.0,24007.0,22504.0,15867.0,13503.0,12201.0,2139,1116,6952,-1351,-1639,7217,radiant
13,29612.0,23387.0,19127.0,13109.0,13756.0,25961.0,23154.0,22058.0,13468.0,13932.0,3450,55,-2955,-170,-285,95,dire
14,30416.0,24093.0,17317.0,13253.0,11687.0,27518.0,23367.0,16364.0,14288.0,12481.0,4230,1065,1185,-891,-251,5338,radiant
15,22846.0,22166.0,13214.0,10901.0,9047.0,29496.0,22872.0,17522.0,12590.0,11895.0,-6571,-1133,-4484,-1568,-2988,-16744,dire
16,30637.0,19465.0,16761.0,12750.0,10964.0,27223.0,22596.0,21563.0,13745.0,13666.0,3356,-3013,-4816,-1259,-2722,-8454,radiant
17,21023.0,21486.0,20697.0,15192.0,16348.0,27478.0,25086.0,19004.0,17762.0,15722.0,-5645,-3611,2284,-1627,1277,-7322,dire
18,24920.0,20834.0,15580.0,13741.0,14020.0,28877.0,32092.0,21235.0,13534.0,10151.0,-3237,-12041,-5209,64,3699,-16724,radiant
19,20207.0,18434.0,18797.0,8447.0,7572.0,27974.0,23631.0,22291.0,13528.0,9370.0,-8151,-4881,-3239,-5512,-2104,-23887,dire
20,30996.0,18282.0,17478.0,11923.0,10383.0,19212.0,20575.0,20532.0,12451.0,11592.0,11453,-2636,-2958,-891,-1304,3664,radiant
21,25759.0,22711.0,21634.0,11684.0,11797.0,31919.0,22703.0,17608.0,12561.0,12446.0,-6926,-311,3862,-1148,-1008,-5531,radiant
22,20081.0,19260.0,17066.0,16322.0,13338.0,31878.0,22939.0,21870.0,16092.0,13667.0,-12394,-3671,-4960,222,-524,-21327,dire
23,25661.0,23437.0,22585.0,15280.0,13467.0,26911.0,22410.0,18113.0,11613.0,9858.0,-619,1447,5076,4357,4000,14261,radiant
24,27614.0,22332.0,19964.0,11300.0,10014.0,31285.0,25891.0,22099.0,13276.0,13270.0,-4493,-4303,-2125,-2494,-3430,-16845,dire
25,30144.0,24382.0,17404.0,12575.0,10266.0,23730.0,17591.0,20276.0,15351.0,11936.0,6493,6296,-2980,-2760,-2134,4915,dire
26,21938.0,21765.0,17002.0,11533.0,8436.0,28242.0,21165.0,20198.0,16776.0,16553.0,-5574,212,-2551,-4502,-8449,-20864,dire
27,21341.0,22358.0,18195.0,14165.0,11853.0,25085.0,23980.0,21491.0,14297.0,12455.0,-4647,-1660,-2560,-493,-663,-10023,dire
28,28997.0,23328.0,21579.0,12508.0,12459.0,26258.0,21492.0,20714.0,10732.0,9017.0,4747,2732,1052,2996,4162,15689,radiant
29,30818.0,24914.0,22473.0,13457.0,11977.0,26455.0,22033.0,20980.0,11889.0,8643.0,6075,3398,2182,1975,3853,17483,radiant
30,24985.0,18306.0,17084.0,9703.0,9129.0,31502.0,19339.0,18415.0,12471.0,12840.0,-6644,-800,-1682,-3002,-3841,-15969,dire
31,21606.0,21433.0,20289.0,19056.0,12713.0,33568.0,26232.0,19650.0,14042.0,12110.0,-12579,-5342,537,4615,566,-12203,dire
32,25013.0,23791.0,15737.0,12608.0,10564.0,24349.0,21248.0,21778.0,15280.0,13670.0,-214,1959,-6308,-2743,-2842,-10148,dire
33,29396.0,26981.0,27217.0,18051.0,15084.0,27773.0,25773.0,20911.0,12511.0,13429.0,1474,722,5894,5512,1504,15106,radiant
34,33162.0,25336.0,23010.0,12432.0,11537.0,29935.0,20349.0,18561.0,11148.0,9436.0,3371,4889,4467,1247,2459,16433,radiant
35,26969.0,19004.0,18169.0,15672.0,11913.0,33107.0,22031.0,20675.0,15124.0,14349.0,-6057,-3022,-2156,709,-2435,-12961,radiant
36,27714.0,24215.0,18519.0,18203.0,12064.0,31498.0,25017.0,24168.0,11821.0,9480.0,-3978,-470,-6314,6529,2479,-1754,dire
37,22702.0,25628.0,17527.0,13210.0,11755.0,23005.0,22050.0,20699.0,11542.0,11608.0,31,3354,-2831,1690,369,2613,radiant
38,24467.0,19195.0,17945.0,10477.0,9480.0,24251.0,23164.0,20720.0,15426.0,13155.0,196,-3862,-3058,-5117,-3731,-15572,dire
39,24066.0,23823.0,22390.0,13646.0,13912.0,22800.0,19917.0,17262.0,14676.0,10617.0,658,3428,4658,-983,3048,10809,radiant
40,31209.0,22665.0,20131.0,12843.0,10571.0,21753.0,22113.0,17885.0,13053.0,12883.0,9115,731,2461,-440,-2223,9644,radiant
41,24695.0,22889.0,18649.0,9895.0,12626.0,24345.0,23639.0,19382.0,19088.0,12682.0,-572,-904,245,-9214,-378,-10823,radiant
42,32797.0,18780.0,18202.0,10711.0,11283.0,28278.0,20826.0,18825.0,12190.0,9599.0,5210,-1643,-678,-1321,1848,3416,radiant
43,38390.0,17098.0,17416.0,12607.0,10887.0,28826.0,29227.0,20723.0,13848.0,13128.0,9798,-11482,-2658,-966,-2051,-7359,dire
44,25157.0,25603.0,24403.0,12334.0,11683.0,24044.0,26426.0,20996.0,18151.0,12064.0,1015,-712,3310,-6097,-566,-3050,radiant
45,29966.0,22024.0,20600.0,14981.0,13664.0,30468.0,22794.0,21009.0,13574.0,12200.0,-21,-411,-320,1827,1621,2696,radiant
46,22653.0,17589.0,15698.0,12054.0,12555.0,24529.0,22739.0,19406.0,12196.0,9951.0,-3442,-4830,-4790,72,2666,-10324,dire
47,24833.0,24637.0,19388.0,12430.0,10534.0,26356.0,18425.0,16352.0,13069.0,11645.0,-317,6120,3227,-552,-809,7669,radiant
48,24188.0,22217.0,17904.0,13096.0,9574.0,27023.0,22659.0,18465.0,15375.0,13490.0,-2244,46,-879,-2086,-3785,-8948,dire
49,23188.0,19606.0,18478.0,14877.0,13424.0,26800.0,22113.0,22825.0,15084.0,16113.0,-3009,-2224,-4383,-256,-2965,-12837,dire
50,22877.0,20109.0,17448.0,11488.0,9187.0,27923.0,19099.0,20579.0,16375.0,10230.0,-4862,734,-3358,-4475,-895,-12856,dire
51,29943.0,20120.0,19409.0,14731.0,16343.0,24029.0,18839.0,19367.0,13238.0,9371.0,6080,1546,393,2225,6971,17215,radiant
52,18678.0,14864.0,15801.0,11914.0,9305.0,30431.0,19142.0,18073.0,18139.0,13573.0,-11183,-3780,-1828,-5742,-3724,-26257,dire
53,21453.0,20769.0,16857.0,10948.0,11248.0,26366.0,19935.0,16889.0,14169.0,10878.0,-5257,1584,-64,-3347,689,-6395,radiant
54,26207.0,21716.0,19334.0,13922.0,12259.0,25513.0,20337.0,20369.0,18665.0,13391.0,32,979,-1307,-4550,-1400,-6246,dire
55,24462.0,21720.0,18019.0,11498.0,11401.0,36516.0,21692.0,20829.0,13934.0,12565.0,-13234,226,-3001,-2511,-1568,-20088,dire
56,29695.0,19612.0,17645.0,15028.0,13455.0,28656.0,24690.0,20648.0,12950.0,11603.0,612,-5264,-3797,1449,1875,-5125,radiant
57,31642.0,23512.0,23128.0,17587.0,14342.0,18325.0,20173.0,17345.0,9937.0,10043.0,13122,3698,6083,8248,4340,35491,radiant
58,27342.0,19389.0,15257.0,11682.0,9947.0,24387.0,23802.0,19293.0,14166.0,10732.0,1606,-4123,-4636,-2917,-1556,-11626,dire
59,31510.0,21174.0,18807.0,9886.0,8632.0,29085.0,28855.0,21142.0,15623.0,10198.0,2486,-8485,-2438,-6010,-1815,-16262,dire
60,25537.0,22650.0,18771.0,16297.0,14504.0,32755.0,24246.0,18544.0,17246.0,15460.0,-7808,-1471,-257,-1231,-627,-11394,dire
61,25912.0,26288.0,23963.0,12247.0,13246.0,32397.0,21638.0,20982.0,16021.0,10498.0,-6578,3516,3170,-3624,2679,-837,radiant
62,26598.0,25197.0,23549.0,16363.0,12435.0,26285.0,16788.0,16628.0,13568.0,8332.0,223,8016,7284,2623,4254,22400,radiant
63,30531.0,23681.0,17625.0,12922.0,12662.0,26434.0,24635.0,19890.0,14946.0,13896.0,3855,53,-2168,-1893,-1048,-1201,dire
64,33129.0,27673.0,24522.0,14787.0,11331.0,28677.0,20285.0,17560.0,14733.0,10761.0,6095,8290,7473,1112,1036,24006,radiant
65,26263.0,18923.0,19646.0,17232.0,12516.0,24952.0,25271.0,18160.0,13873.0,12616.0,1316,-6725,1713,3115,-39,-620,dire
66,30360.0,17837.0,16495.0,11706.0,9496.0,23525.0,21608.0,19351.0,11511.0,12061.0,5382,-5880,-3695,-950,-3097,-8240,dire
67,29515.0,22707.0,15221.0,13165.0,13138.0,30664.0,19537.0,15766.0,13954.0,12224.0,-1514,2975,-784,-875,876,678,radiant
68,25820.0,21159.0,20180.0,13395.0,12629.0,30013.0,30056.0,23247.0,15279.0,14658.0,-4015,-8309,-2726,-1817,-1732,-18599,dire
69,20788.0,23612.0,19182.0,13168.0,11199.0,21465.0,21641.0,20986.0,12542.0,13224.0,-608,1321,-2391,160,-2717,-4235,dire
70,27554.0,22777.0,17919.0,11418.0,10775.0,27744.0,20281.0,20046.0,13132.0,11619.0,-453,1995,-2736,-1885,-1187,-4266,dire
71,28745.0,20367.0,21435.0,13659.0,13166.0,22154.0,21541.0,16867.0,16016.0,13164.0,6377,-191,4190,-2081,502,8797,dire
72,29881.0,22196.0,20705.0,13279.0,12959.0,31683.0,18992.0,18335.0,16329.0,12015.0,-2787,3264,2003,-3798,-218,-1536,dire
73,33158.0,21449.0,20246.0,14273.0,14810.0,22401.0,19584.0,17353.0,16060.0,10610.0,12270,2886,3399,-594,4618,22579,radiant
74,21456.0,17368.0,16700.0,12494.0,10766.0,29784.0,25534.0,19264.0,16994.0,14098.0,-8292,-8774,-2831,-4629,-3747,-28273,dire
75,31558.0,28299.0,25899.0,19560.0,12614.0,25106.0,23203.0,16517.0,14513.0,13714.0,8873,6136,10784,3863,-1200,28456,radiant
76,24530.0,24553.0,21090.0,13079.0,11923.0,30356.0,17108.0,17309.0,11023.0,9730.0,-4549,8504,5204,3018,3094,15271,radiant
77,28816.0,19777.0,19903.0,10051.0,8980.0,24673.0,22455.0,19869.0,16517.0,10561.0,4658,-3418,-480,-7027,-1653,-7920,dire
78,31589.0,21283.0,18929.0,12784.0,12140.0,26704.0,19789.0,16695.0,10795.0,8579.0,7184,2444,3581,2741,4295,20245,radiant
79,32763.0,26278.0,21988.0,17623.0,12776.0,29003.0,22167.0,20544.0,13982.0,12083.0,3671,4033,1684,3301,598,13287,radiant
80,31894.0,25298.0,23752.0,13636.0,13930.0,27946.0,19459.0,19554.0,12234.0,11942.0,2572,5602,4962,1643,1867,16646,radiant
81,25709.0,24139.0,17036.0,13571.0,8992.0,27952.0,22857.0,17575.0,19077.0,13777.0,-3287,963,-969,-5735,-5158,-14186,dire
82,21757.0,20809.0,19378.0,13966.0,9869.0,21930.0,20048.0,15802.0,11146.0,9041.0,512,1772,4357,2812,1101,10554,radiant
83,28775.0,26689.0,23129.0,15434.0,12895.0,26517.0,22486.0,17430.0,14438.0,11062.0,1435,3476,5071,785,1662,12429,radiant
84,30683.0,25176.0,22516.0,19462.0,18081.0,24894.0,21612.0,18044.0,15751.0,13497.0,6627,3491,4818,3592,4288,22816,radiant
85,35640.0,27600.0,19190.0,16529.0,13162.0,32127.0,25027.0,23224.0,16302.0,14165.0,4005,1513,-4519,526,-1655,-130,dire
86,24671.0,22329.0,19162.0,12146.0,10768.0,28274.0,21198.0,16396.0,12796.0,12350.0,-3887,448,2068,-1132,-2080,-4583,radiant
87,23492.0,22462.0,24276.0,11842.0,11715.0,24253.0,17923.0,19181.0,9589.0,9924.0,-1114,5185,5064,2392,1873,13400,radiant
88,19729.0,20409.0,18973.0,12135.0,10491.0,24835.0,21458.0,18975.0,15807.0,11517.0,-5135,-204,-16,-3695,-1072,-10122,dire
89,25354.0,24261.0,24474.0,15019.0,12860.0,23323.0,24045.0,14275.0,15384.0,10340.0,1476,432,10269,-303,2765,14639,dire
