,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,-4505,-1260,411,-2717,-2223,-10294,radiant,15104.0,19578.0,19063.0,20099.0,16022.0,15602.0,6947.0,9467.0,6602.0,8814.0
1,-1903,-3073,-285,-1437,-1946,-8644,dire,18155.0,19716.0,14831.0,16455.0,13401.0,12879.0,9209.0,10539.0,7618.0,9064.0
2,1846,-979,-38,-3350,1865,-656,radiant,21487.0,19501.0,15477.0,16902.0,13551.0,13566.0,8349.0,11373.0,7553.0,5995.0
3,1424,571,-913,-4331,-323,-3572,radiant,18650.0,17884.0,15327.0,15141.0,12574.0,14008.0,8465.0,13509.0,7906.0,8110.0
4,5345,5182,-1522,-1501,-1011,6493,radiant,21277.0,17416.0,20735.0,16615.0,12558.0,15085.0,8244.0,10592.0,6204.0,7643.0
5,1088,-1153,-3989,-1416,-1178,-6648,dire,16878.0,15674.0,14257.0,13840.0,11428.0,15101.0,7535.0,9804.0,7174.0,8133.0
6,3178,1512,-1013,-2292,990,2375,radiant,21747.0,18903.0,19153.0,17622.0,14095.0,14993.0,9065.0,11301.0,7580.0,6340.0
7,5939,-1321,372,2579,2225,9794,radiant,22063.0,16469.0,15542.0,16496.0,11578.0,11856.0,10255.0,8910.0,10167.0,8060.0
8,4111,1240,-465,2087,-1309,5664,radiant,19226.0,15095.0,16818.0,14225.0,13532.0,13800.0,12641.0,10023.0,8011.0,9300.0
9,-2701,2796,43,-1960,-1366,-3188,dire,17921.0,20372.0,16156.0,13469.0,13328.0,13212.0,8392.0,10318.0,8533.0,9184.0
10,-2015,-2543,-801,-1298,-1926,-8583,radiant,16157.0,17215.0,13068.0,16064.0,11493.0,11962.0,8075.0,9353.0,5681.0,7416.0
11,-1604,4032,2945,1547,2462,9382,radiant,19692.0,21676.0,18804.0,15574.0,15574.0,12948.0,11288.0,9580.0,9332.0,6944.0
12,1453,2225,-1065,1159,1743,5515,dire,17572.0,16071.0,16400.0,14420.0,12158.0,13326.0,9096.0,8129.0,7791.0,5998.0
13,-4109,-3769,-1395,-6419,-1438,-17130,dire,15437.0,19078.0,15134.0,18327.0,13425.0,16214.0,8696.0,15636.0,7739.0,9129.0
14,-5339,-627,-1886,629,-282,-7505,dire,15890.0,21177.0,14124.0,14534.0,13414.0,14917.0,10085.0,9620.0,8976.0,9299.0
15,-3105,-5491,56,-153,-128,-8821,dire,16649.0,18448.0,13977.0,19420.0,15317.0,14728.0,10207.0,9750.0,8263.0,7845.0
16,-6516,-4130,-1790,-1319,-150,-13905,dire,16104.0,21800.0,12926.0,17059.0,11617.0,12958.0,7752.0,9011.0,7510.0,7418.0
17,-1176,-3624,-3892,-1266,749,-9209,radiant,16178.0,17376.0,12922.0,17045.0,11703.0,17036.0,8479.0,10308.0,8801.0,7955.0
18,-5410,-5407,-5294,-2435,-1595,-20141,dire,16082.0,21470.0,14223.0,19756.0,11563.0,16685.0,7997.0,10984.0,7470.0,9236.0
19,-3120,2109,-1358,1355,1452,438,dire,15186.0,18033.0,16263.0,13408.0,13287.0,14672.0,8952.0,7633.0,7704.0,6752.0
20,456,-2264,1916,2742,-278,2572,radiant,18733.0,17786.0,17689.0,19018.0,15375.0,12485.0,10004.0,7180.0,7626.0,7706.0
21,3648,-1704,-2157,3203,1133,4123,radiant,19573.0,16038.0,13835.0,15695.0,11022.0,13185.0,12664.0,9399.0,8591.0,7454.0
22,-3380,-5263,-3869,333,-532,-12711,dire,17006.0,19226.0,10032.0,15422.0,9613.0,13661.0,8564.0,8714.0,8386.0,8830.0
23,4472,4105,6324,-205,-283,14413,radiant,19102.0,14602.0,18006.0,14208.0,16193.0,10381.0,8979.0,9344.0,8342.0,8702.0
24,2751,-574,-2519,-219,483,-78,dire,19459.0,17115.0,15491.0,16498.0,12647.0,15607.0,9527.0,9962.0,8893.0,8526.0
25,411,-2525,-1192,-894,-1730,-5930,radiant,19659.0,18896.0,15399.0,18154.0,10745.0,11771.0,8063.0,8976.0,7301.0,9463.0
26,-3066,-396,-4333,-1490,-1353,-10638,dire,17268.0,21591.0,14480.0,15277.0,9798.0,14386.0,7632.0,9459.0,6940.0,8629.0
27,3417,-1315,-1374,778,-602,904,radiant,20977.0,18449.0,13249.0,15171.0,11533.0,13315.0,9919.0,9148.0,7814.0,8544.0
28,-5965,-2329,-809,-3085,1224,-10964,dire,13166.0,18685.0,15666.0,17705.0,12733.0,14042.0,8357.0,11830.0,12246.0,10531.0
29,-3375,-2238,184,1596,-2820,-6653,dire,15964.0,20257.0,15799.0,17527.0,13776.0,14495.0,11910.0,11311.0,8380.0,11446.0
30,-1371,-4393,-3238,278,4922,-3802,radiant,18256.0,18602.0,15562.0,18854.0,10941.0,13309.0,9124.0,7999.0,11057.0,6212.0
31,-4865,-2165,-741,2146,-1076,-6701,dire,14645.0,20569.0,14177.0,16576.0,13223.0,14413.0,11192.0,9401.0,7695.0,8727.0
32,-3655,-3477,-2369,-2917,-1586,-14004,dire,14137.0,17767.0,13126.0,16456.0,14170.0,16515.0,6794.0,9586.0,5358.0,7204.0
33,-41,-4107,-4727,-2798,-2939,-14612,dire,19294.0,20205.0,14147.0,18743.0,12712.0,17252.0,7268.0,10541.0,6921.0,10093.0
34,8343,4271,930,3179,1834,18557,radiant,21277.0,14826.0,17120.0,13529.0,13547.0,13309.0,12239.0,9311.0,9205.0,7937.0
35,-5101,-2071,-1360,-3818,-4475,-16825,dire,17541.0,22093.0,16289.0,19541.0,13947.0,16236.0,8518.0,12751.0,5917.0,10720.0
36,1793,-639,-3198,-1938,-1615,-5597,dire,17084.0,15324.0,14175.0,15131.0,8884.0,12123.0,7474.0,9369.0,6149.0,7693.0
37,6461,-2542,-2340,419,-1576,422,radiant,20758.0,13994.0,13357.0,15719.0,11953.0,14608.0,8716.0,8490.0,7175.0,8728.0
38,7182,5971,3339,5009,4365,25866,radiant,21938.0,14978.0,17367.0,12673.0,15197.0,12814.0,10922.0,6737.0,9526.0,6210.0
39,8201,3052,1549,1745,1190,15737,radiant,24703.0,16931.0,15339.0,12758.0,13784.0,12423.0,8891.0,8029.0,8411.0,7321.0
40,-1984,1746,3661,-541,-1560,1322,radiant,18691.0,20875.0,15908.0,15580.0,15711.0,12342.0,8668.0,9693.0,8498.0,10309.0
41,456,797,-1994,-482,-1641,-2864,dire,17920.0,16466.0,17684.0,16708.0,15323.0,15508.0,11751.0,12116.0,7214.0,8296.0
42,4098,1886,1817,-10,1428,9219,radiant,20694.0,17920.0,16574.0,15414.0,15186.0,13889.0,8386.0,8891.0,8191.0,6766.0
43,-5349,-6200,-4957,-6907,-6428,-29841,dire,12936.0,18969.0,12470.0,18873.0,11401.0,16033.0,9261.0,16486.0,5956.0,11804.0
44,-1122,-2333,982,-4184,-1573,-8230,dire,16535.0,17991.0,14832.0,17215.0,15541.0,14362.0,8970.0,13224.0,8629.0,10168.0
45,-3841,1977,-2077,3709,-712,-944,dire,15135.0,18843.0,16005.0,13335.0,12091.0,14591.0,12522.0,9207.0,9448.0,10314.0
46,467,-885,-664,-3139,347,-3874,dire,21539.0,21121.0,15626.0,15521.0,15033.0,15003.0,10173.0,11897.0,8805.0,7914.0
47,-3579,1619,1316,2935,1279,3570,radiant,14587.0,18788.0,16741.0,14655.0,14636.0,13347.0,10546.0,7492.0,8623.0,7278.0
48,-630,-497,1619,-1035,-2507,-3050,dire,19231.0,20210.0,17501.0,17830.0,16444.0,14565.0,8834.0,9874.0,7441.0,9831.0
49,2083,4221,-188,-195,-926,4995,dire,18836.0,17233.0,15538.0,11464.0,12882.0,13431.0,9393.0,9185.0,6444.0,7772.0
50,-2085,-380,-1142,-4536,-5647,-13790,dire,14952.0,16664.0,16533.0,16472.0,12262.0,13211.0,7633.0,11831.0,6239.0,11123.0
51,-1764,-1456,-2891,743,-412,-5780,dire,15175.0,17334.0,14994.0,16655.0,12656.0,15979.0,9664.0,9004.0,8225.0,8952.0
52,-4621,-3289,-4440,35,-433,-12748,dire,16963.0,21445.0,14097.0,18065.0,11693.0,16423.0,9840.0,9827.0,8553.0,9249.0
53,-464,-1722,-831,-949,708,-3258,radiant,18286.0,18252.0,15441.0,17082.0,15284.0,15785.0,7533.0,8438.0,7413.0,6816.0
54,11230,3352,438,3658,2711,21389,radiant,26896.0,15910.0,18725.0,16208.0,14083.0,13565.0,11766.0,8262.0,10319.0,7481.0
55,-6325,-520,1078,-901,-2238,-8906,dire,13560.0,21126.0,14947.0,15598.0,13831.0,13040.0,8399.0,8902.0,5387.0,7236.0
56,1963,-11,-263,596,1749,4034,radiant,19856.0,18834.0,15783.0,16792.0,15761.0,16241.0,9965.0,9543.0,8350.0,7196.0
57,11809,1082,1645,4704,1952,21192,radiant,24562.0,13235.0,13791.0,13235.0,13627.0,12221.0,12234.0,8102.0,9608.0,7921.0
58,8589,9498,6109,5088,5242,34526,radiant,21183.0,13998.0,20037.0,11577.0,14722.0,10057.0,11879.0,7168.0,9888.0,5500.0
59,-1913,-950,470,-805,-2208,-5406,dire,18101.0,19769.0,11968.0,12986.0,12961.0,12659.0,7334.0,8239.0,6939.0,9720.0
60,-6779,-3007,483,-5086,-3211,-17600,dire,16269.0,20911.0,13578.0,15880.0,13751.0,12368.0,7679.0,12070.0,7183.0,9642.0
61,-11026,-5750,-499,1538,-289,-16026,dire,13234.0,24546.0,13960.0,19573.0,13991.0,14473.0,12077.0,10643.0,8049.0,8223.0
62,-3741,-3525,-3735,-10,-1421,-12432,dire,17523.0,22285.0,13981.0,18991.0,11637.0,15739.0,12978.0,13153.0,7020.0,9148.0
63,936,2298,1052,-2552,251,1985,dire,18491.0,17372.0,17885.0,15529.0,15691.0,14532.0,10551.0,13152.0,7340.0,7083.0
64,713,-1483,-1920,-2406,-4147,-9243,dire,18234.0,17763.0,14229.0,16342.0,12891.0,14757.0,10998.0,13244.0,9558.0,14051.0
65,2836,-891,-2366,-2221,1622,-1020,dire,17706.0,15133.0,14757.0,15868.0,10677.0,13854.0,8698.0,10597.0,8714.0,7341.0
66,542,1650,-2403,-760,-1187,-2158,dire,18093.0,17101.0,16331.0,14178.0,11859.0,13484.0,8356.0,8536.0,7975.0,8548.0
67,2785,1690,4358,5857,711,15401,radiant,22109.0,19895.0,19104.0,17530.0,18990.0,14756.0,13934.0,7989.0,11588.0,10824.0
68,4602,1073,2236,-533,1372,8750,radiant,24331.0,20017.0,16853.0,15602.0,16628.0,14679.0,8296.0,8609.0,8204.0,6815.0
69,8088,5440,1671,-877,769,15091,radiant,21089.0,13712.0,16200.0,11031.0,13130.0,11570.0,9598.0,10820.0,7659.0,6844.0
70,-728,1566,6003,3415,2884,13140,radiant,17455.0,18612.0,18240.0,16156.0,15828.0,9998.0,10078.0,7680.0,9820.0,6814.0
71,234,700,260,1879,-11,3062,radiant,21456.0,21568.0,15285.0,15127.0,13160.0,13473.0,11245.0,9503.0,8086.0,8490.0
