,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
28,7526050917,46,98,120,79,83,48,21,96,65,85,-6139,-2908,-1442,-4111,-5948,-20548,35,dire,20932.0,28095.0,17908.0,21299.0,16743.0,18251.0,9988.0,14283.0,6907.0,12953.0
29,7526071203,54,74,96,101,83,107,102,14,105,27,890,-2035,-3979,-3492,-2695,-11311,35,dire,20283.0,18633.0,16888.0,18648.0,10435.0,13751.0,8023.0,11389.0,6879.0,9023.0
30,7526305209,89,96,76,105,68,41,43,106,26,110,9420,-1864,-2417,340,-569,4910,35,radiant,26952.0,17075.0,16407.0,17813.0,14999.0,17338.0,10848.0,10037.0,8491.0,9714.0
31,7527329500,46,102,21,26,14,95,13,97,20,86,-4622,-247,3529,-1397,-1951,-4688,35,radiant,22995.0,27537.0,20230.0,20082.0,18842.0,15447.0,10066.0,11605.0,9678.0,11334.0
32,7527537810,53,49,23,79,136,25,106,129,21,102,6239,2583,2307,885,3082,15096,35,radiant,26024.0,21824.0,20530.0,18924.0,17866.0,16345.0,10113.0,9941.0,10566.0,8059.0
33,7528383718,46,32,98,45,20,25,13,60,53,87,-5461,-4404,-1062,-7077,-3713,-21717,35,dire,18112.0,23193.0,17445.0,21978.0,16829.0,18182.0,9874.0,16977.0,9058.0,13279.0
34,7528465311,71,104,91,20,86,18,106,96,101,121,-6233,-756,-2893,2738,-236,-7380,35,dire,18012.0,23857.0,17451.0,18141.0,15849.0,18240.0,14921.0,11506.0,10700.0,11635.0
35,7529139904,114,80,129,128,64,89,13,29,72,62,-2553,54,1980,2854,1990,4325,35,radiant,19834.0,22439.0,19657.0,18862.0,18409.0,16411.0,12068.0,9194.0,10326.0,8196.0
36,7529241517,89,49,43,110,100,109,106,28,105,68,-2952,-2123,445,-1373,-3319,-9322,35,dire,23520.0,25768.0,19696.0,21893.0,18458.0,17986.0,9989.0,11698.0,8388.0,10976.0
37,7529378713,76,53,43,85,19,80,23,112,31,26,4240,4940,-1675,-2238,-1560,3707,35,dire,24176.0,21286.0,18429.0,13905.0,14186.0,16816.0,10706.0,13433.0,8206.0,10087.0
38,7529403415,25,95,69,5,20,32,55,74,121,71,-3938,1210,-1766,-4623,-6887,-16004,35,dire,18532.0,21693.0,19150.0,17875.0,13799.0,15927.0,9750.0,14210.0,7039.0,13641.0
39,7529493512,32,82,78,71,58,17,14,21,51,20,-2044,-1543,-3372,-56,-138,-7153,35,dire,18689.0,20257.0,19185.0,20406.0,15194.0,18899.0,11828.0,12003.0,10967.0,10365.0
40,7529570918,25,98,114,112,86,56,43,60,26,83,-1564,-564,-2202,-1112,493,-4949,35,radiant,21126.0,22407.0,18708.0,18724.0,16748.0,18940.0,8749.0,9737.0,8255.0,8262.0
41,7529662500,12,106,96,86,45,41,47,33,19,26,9989,4465,1091,3302,3986,22833,35,radiant,32047.0,18768.0,23106.0,17808.0,17108.0,15401.0,13274.0,10377.0,12222.0,8298.0
42,7529668400,15,21,59,19,91,1,43,74,51,45,-10052,-1250,-1421,-802,-3685,-17210,35,dire,18163.0,27429.0,18192.0,18095.0,16356.0,16597.0,10364.0,10803.0,6817.0,9485.0
43,7529670117,41,13,69,86,3,114,90,129,20,26,5107,1635,796,848,2810,11196,35,radiant,26117.0,20541.0,20663.0,18471.0,19180.0,18484.0,11380.0,10736.0,11006.0,7715.0
44,7530098507,48,106,65,58,136,10,96,17,66,86,-2873,-294,607,-2123,-3037,-7720,35,dire,21594.0,25084.0,15418.0,15464.0,15392.0,14933.0,8677.0,10687.0,8118.0,10790.0
45,7530159016,41,53,129,97,105,25,36,96,100,20,-12375,-4845,1468,3504,-230,-12478,35,dire,18083.0,29350.0,18075.0,22680.0,17228.0,16056.0,15436.0,11996.0,9705.0,9794.0
46,7530463515,114,74,104,84,7,1,19,53,96,5,-1898,1000,-206,-3424,101,-4427,35,dire,23672.0,23893.0,21071.0,19946.0,17181.0,17181.0,13366.0,15887.0,8971.0,8542.0
47,7530650619,120,41,78,68,123,25,18,29,66,20,341,-1388,-1612,-2859,1883,-3635,35,dire,21646.0,20793.0,17928.0,19643.0,13617.0,15560.0,9928.0,13266.0,10653.0,8243.0
48,7530728311,48,39,96,79,26,8,17,98,121,45,-951,1028,-3681,-1531,-1793,-6928,35,dire,20426.0,21570.0,18442.0,17224.0,13402.0,17641.0,9653.0,11441.0,8985.0,10770.0
49,7530771503,38,61,129,90,65,48,22,78,119,66,5236,2044,6309,6834,1725,22148,35,radiant,26113.0,21217.0,22849.0,20729.0,24237.0,17481.0,15712.0,9430.0,13545.0,11849.0
50,7531040410,73,106,33,86,19,89,23,21,26,68,4242,4423,3588,1120,2181,15554,35,radiant,28728.0,25245.0,21284.0,17018.0,19643.0,16059.0,10160.0,9423.0,10532.0,7642.0
51,7531077704,95,106,98,121,103,114,53,62,129,45,9496,4910,1598,-208,936,16732,35,radiant,26333.0,17489.0,19569.0,13791.0,14799.0,13448.0,11827.0,11950.0,8477.0,7575.0
52,7531515518,4,102,19,105,45,73,21,13,65,100,-2418,-874,-152,987,-1304,-3761,35,radiant,24465.0,26149.0,17653.0,18289.0,16084.0,16005.0,13127.0,11599.0,9316.0,10711.0
53,7531673702,95,69,106,121,79,25,67,104,26,83,3507,-3056,2007,2453,2569,7480,35,radiant,23381.0,20242.0,15483.0,19347.0,15436.0,13753.0,13066.0,10500.0,11698.0,9744.0
54,7531926406,46,13,121,71,5,4,106,55,86,83,-3393,884,-6605,5172,1722,-2220,35,dire,24995.0,27239.0,21528.0,20288.0,13394.0,18103.0,15073.0,9422.0,9979.0,8351.0
55,7532057903,54,11,104,19,84,48,22,14,114,20,-9043,-7743,-121,549,-412,-16770,35,dire,20591.0,29870.0,15066.0,23223.0,15261.0,15496.0,10030.0,10123.0,8944.0,9158.0
56,7532211815,11,17,60,19,102,76,21,23,79,58,-446,2278,-983,2372,811,4032,35,radiant,18620.0,20370.0,21734.0,19610.0,15473.0,16822.0,10537.0,8259.0,9607.0,8926.0
57,7532381012,113,120,97,128,45,106,69,93,66,110,51,-3113,-1743,-3474,-2943,-11222,35,dire,19903.0,20414.0,16216.0,19154.0,16009.0,18134.0,8357.0,12753.0,7449.0,10876.0
58,7532553807,10,126,98,86,72,4,13,112,19,26,-560,4083,3878,-1596,2447,8252,35,radiant,19104.0,19831.0,19556.0,15315.0,18457.0,15284.0,10768.0,12910.0,11661.0,8975.0
59,7532722008,63,114,96,110,26,106,54,69,86,58,7185,-357,2154,-15,-2123,6844,35,radiant,25763.0,18483.0,18906.0,19473.0,18084.0,15548.0,10571.0,10887.0,9285.0,11562.0
60,7532848119,14,74,15,5,100,120,41,137,64,26,-6433,-4706,-3384,-6666,-4101,-25290,35,dire,16190.0,23259.0,15096.0,20424.0,14749.0,17616.0,7622.0,13773.0,6116.0,9904.0
61,7532959919,48,120,60,26,91,72,74,55,112,19,-1835,-1629,-4073,-2581,-1094,-11212,35,dire,22844.0,21810.0,17430.0,16955.0,12957.0,15863.0,8059.0,9854.0,8064.0,8203.0
62,7532985414,10,25,137,100,26,96,54,19,65,5,-395,-993,-579,-7876,-16,-9859,35,radiant,20405.0,20481.0,18304.0,18812.0,16371.0,16135.0,8052.0,15844.0,10484.0,11034.0
63,7533042916,10,74,47,96,20,46,22,69,72,121,2079,-1745,-921,-1968,1604,-951,35,radiant,27389.0,25110.0,15589.0,17075.0,15283.0,16182.0,9208.0,10971.0,9382.0,8186.0
64,7533154518,73,120,78,69,72,109,39,112,26,19,8578,-9520,-1923,-224,-2607,-5696,35,dire,32555.0,24837.0,15172.0,23256.0,15156.0,17738.0,11053.0,11314.0,8987.0,11457.0
65,7533231811,10,96,11,136,26,106,41,19,90,86,1473,-126,2941,-7097,-1553,-4362,35,radiant,19758.0,19544.0,21287.0,22003.0,19627.0,17338.0,9683.0,16092.0,9226.0,11084.0
66,7533433505,48,43,23,96,119,25,21,129,26,136,1920,863,1695,2706,4009,11193,35,radiant,26574.0,24714.0,17511.0,17980.0,18531.0,17101.0,12752.0,10448.0,12300.0,8183.0
67,7533473919,35,76,23,19,20,8,69,47,112,83,-2317,-5662,-4617,-3929,191,-16334,35,dire,16974.0,22829.0,17210.0,21262.0,15195.0,18801.0,10211.0,14172.0,7441.0,7972.0
68,7533525210,8,23,90,112,66,21,59,60,111,20,-2636,-3974,-3439,-698,2379,-8368,35,dire,17607.0,20652.0,14995.0,19017.0,12260.0,16183.0,9454.0,9642.0,10550.0,8133.0
69,7534334312,70,39,97,51,5,10,137,92,110,65,-1423,4723,1877,-1241,-1808,2128,35,radiant,21789.0,23381.0,20833.0,16245.0,15975.0,14415.0,10462.0,11623.0,9189.0,10964.0
70,7534419016,10,14,98,31,121,13,56,77,112,19,3655,6060,1708,891,742,13056,35,radiant,22826.0,19945.0,22171.0,17706.0,18226.0,18541.0,10955.0,11473.0,10955.0,11003.0
71,7535023015,82,13,69,53,26,10,96,23,86,83,2414,2783,3374,4170,1800,14541,35,radiant,20951.0,19279.0,21478.0,19434.0,20215.0,17274.0,13292.0,9439.0,10569.0,9144.0
72,7535030019,53,106,61,123,100,41,69,74,128,65,1884,209,764,-1945,-2439,-1527,35,dire,21654.0,20552.0,18980.0,18830.0,15639.0,14824.0,10475.0,12314.0,8919.0,10919.0
73,7535205409,60,17,123,20,19,46,21,78,100,121,-8254,-942,-1052,-983,-2655,-13886,35,dire,20589.0,28646.0,17087.0,18368.0,16769.0,16979.0,10146.0,11004.0,8201.0,10948.0
