,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,-2189,-2316,2078,-1717,-2322,-6466,radiant,20421.0,23955.0,22935.0,24436.0,21138.0,18740.0,9198.0,11479.0,9234.0,11895.0
1,8806,-815,1567,-748,4068,12878,radiant,31030.0,22915.0,19346.0,19671.0,17486.0,16291.0,12266.0,12956.0,11208.0,7082.0
2,4825,77,-2183,-4736,-1866,-3883,radiant,27138.0,21784.0,19210.0,18090.0,14820.0,16327.0,12456.0,15909.0,10384.0,10587.0
3,1183,1057,-2891,-1343,-542,-2536,dire,20956.0,19661.0,18317.0,17416.0,15076.0,17855.0,9993.0,11179.0,9366.0,9878.0
4,6318,1082,-432,1743,2612,11323,radiant,29373.0,22450.0,20299.0,19395.0,13955.0,14442.0,13157.0,11236.0,12114.0,9742.0
5,5129,3211,1271,4536,936,15083,radiant,23773.0,18382.0,20849.0,17060.0,17565.0,15947.0,15882.0,11118.0,11189.0,9696.0
6,-4275,1555,-1557,-1393,-1293,-6963,dire,21013.0,26586.0,19941.0,16474.0,15229.0,16513.0,10717.0,12560.0,10049.0,11774.0
7,-2613,-1231,196,-1987,-767,-6402,radiant,20403.0,23115.0,16833.0,18868.0,14314.0,14632.0,9966.0,12200.0,7537.0,8876.0
8,780,2059,-3081,492,568,818,dire,20398.0,20410.0,19131.0,17725.0,13916.0,17790.0,10393.0,10091.0,8440.0,7810.0
9,-10875,-2015,-1052,-988,-1844,-16774,dire,17667.0,28197.0,17312.0,19798.0,15817.0,16798.0,11518.0,12465.0,10380.0,11857.0
10,-1145,-3976,-392,3107,337,-2069,dire,22499.0,25400.0,17581.0,23189.0,18672.0,19496.0,15274.0,13473.0,10551.0,11218.0
11,-6343,-4379,-4133,-1702,551,-16006,dire,19719.0,26498.0,16737.0,21046.0,14276.0,18124.0,9833.0,11380.0,9860.0,9017.0
12,-3,-1362,-3379,965,1014,-2765,radiant,19933.0,20405.0,17475.0,19704.0,15413.0,18573.0,12356.0,11705.0,11381.0,10526.0
13,-5346,-8211,-6639,-2650,-2147,-24993,dire,20376.0,25715.0,16555.0,25101.0,12936.0,20038.0,9995.0,12880.0,8754.0,11340.0
14,-1806,3698,-430,3003,2576,7041,dire,20020.0,22317.0,19763.0,16132.0,15897.0,17354.0,12020.0,9108.0,10014.0,7916.0
15,-1296,-4460,2716,2118,-321,-1243,radiant,22840.0,23017.0,20551.0,23994.0,18275.0,14697.0,12275.0,9768.0,9424.0,9229.0
16,4877,-1924,-588,3860,778,7003,radiant,25024.0,20127.0,17331.0,18903.0,14233.0,15132.0,15289.0,11187.0,10462.0,9344.0
17,-1895,-4305,-2628,1623,640,-6565,dire,21890.0,24307.0,13250.0,17507.0,12772.0,15014.0,11299.0,9684.0,11092.0,10251.0
18,4024,1909,6232,-562,-1181,10422,radiant,23574.0,17489.0,20983.0,20000.0,20507.0,12457.0,11011.0,11794.0,9363.0,10415.0
19,3642,-642,-2912,107,-385,-190,dire,24650.0,20434.0,19129.0,20036.0,15229.0,18135.0,11495.0,11359.0,11065.0,11366.0
20,-956,-1536,-1022,-2483,-1878,-7875,radiant,23291.0,23973.0,18978.0,20731.0,13825.0,14755.0,9875.0,12566.0,9298.0,11404.0
21,-4979,-1196,-4651,-1431,-2695,-14952,dire,21159.0,25909.0,17929.0,19506.0,11338.0,16155.0,9273.0,10971.0,7794.0,10659.0
22,2028,-1535,-4099,-1326,-2620,-7552,radiant,25722.0,23966.0,16734.0,17895.0,14125.0,18381.0,11277.0,12617.0,9345.0,11663.0
23,-6125,-2192,506,-3063,1264,-9610,dire,16494.0,22255.0,19756.0,22309.0,16248.0,15678.0,10999.0,13831.0,14326.0,12917.0
24,-4146,-3981,-708,-250,-4841,-13926,dire,19461.0,24009.0,18678.0,22508.0,17340.0,17762.0,14220.0,14038.0,9377.0,14053.0
25,-3038,-7613,-4194,-527,4579,-10793,radiant,22194.0,24782.0,17850.0,25457.0,13319.0,17123.0,10842.0,11409.0,12694.0,8483.0
26,-5819,-4144,-2735,-3935,-1243,-17876,dire,17464.0,23306.0,15985.0,19879.0,16727.0,19704.0,7673.0,11337.0,7091.0,8098.0
27,2231,-5866,-7100,-3920,-3344,-17999,dire,24897.0,22976.0,15992.0,21580.0,14539.0,21066.0,8775.0,12371.0,8142.0,11280.0
28,-6139,-2908,-1442,-4111,-5948,-20548,dire,20994.0,28148.0,17880.0,21395.0,16390.0,18192.0,10245.0,14449.0,6834.0,12962.0
29,890,-2035,-3979,-3492,-2695,-11311,dire,20745.0,18635.0,17257.0,18788.0,10346.0,13922.0,8137.0,11324.0,6812.0,9254.0
30,9420,-1864,-2417,340,-569,4910,radiant,26699.0,17089.0,16372.0,18282.0,15253.0,17340.0,10779.0,10256.0,9229.0,9872.0
31,-4622,-247,3529,-1397,-1951,-4688,radiant,23031.0,27309.0,20353.0,20342.0,18982.0,15530.0,10268.0,11800.0,9776.0,11682.0
32,6239,2583,2307,885,3082,15096,radiant,26491.0,21846.0,20627.0,18906.0,17895.0,16434.0,10369.0,10186.0,10587.0,8148.0
33,-5461,-4404,-1062,-7077,-3713,-21717,dire,18236.0,23195.0,17527.0,22303.0,16830.0,18193.0,10203.0,17313.0,9267.0,13061.0
34,-6233,-756,-2893,2738,-236,-7380,dire,18397.0,23948.0,17846.0,18141.0,15488.0,18232.0,15121.0,11621.0,11070.0,11462.0
35,-2553,54,1980,2854,1990,4325,radiant,19575.0,22310.0,19746.0,19116.0,18489.0,16543.0,12600.0,9412.0,10473.0,8486.0
36,-2952,-2123,445,-1373,-3319,-9322,dire,23397.0,25787.0,19813.0,21877.0,18959.0,18042.0,10151.0,11627.0,8458.0,11665.0
37,4240,4940,-1675,-2238,-1560,3707,dire,24442.0,21346.0,18782.0,14070.0,14645.0,16820.0,10668.0,13563.0,8372.0,10318.0
38,-3938,1210,-1766,-4623,-6887,-16004,dire,18595.0,21737.0,19053.0,18052.0,14177.0,16288.0,9725.0,14020.0,7245.0,13914.0
39,-2044,-1543,-3372,-56,-138,-7153,dire,18767.0,20411.0,19324.0,20657.0,15862.0,19008.0,12045.0,12051.0,11048.0,10564.0
40,-1564,-564,-2202,-1112,493,-4949,radiant,21163.0,22466.0,18724.0,19211.0,16579.0,18961.0,8767.0,9955.0,8657.0,8155.0
41,9989,4465,1091,3302,3986,22833,radiant,31722.0,18788.0,23088.0,18115.0,17056.0,15526.0,13599.0,10512.0,12526.0,8535.0
42,-10052,-1250,-1421,-802,-3685,-17210,dire,18204.0,27087.0,18331.0,18599.0,16578.0,16964.0,10505.0,10869.0,6588.0,9802.0
43,5107,1635,796,848,2810,11196,radiant,26020.0,20338.0,20941.0,19058.0,19632.0,18591.0,11733.0,10934.0,10963.0,7969.0
44,-2873,-294,607,-2123,-3037,-7720,dire,21760.0,24812.0,15396.0,15381.0,15545.0,15076.0,8781.0,10670.0,8183.0,11148.0
45,-12375,-4845,1468,3504,-230,-12478,dire,18061.0,29250.0,18444.0,22737.0,17302.0,15976.0,15508.0,12048.0,9620.0,9992.0
46,-1898,1000,-206,-3424,101,-4427,dire,23347.0,23603.0,21542.0,20000.0,17576.0,17501.0,13198.0,15842.0,9184.0,8535.0
47,341,-1388,-1612,-2859,1883,-3635,dire,21324.0,20831.0,17930.0,19751.0,14325.0,15705.0,10634.0,13242.0,10558.0,8448.0
48,-951,1028,-3681,-1531,-1793,-6928,dire,20608.0,21585.0,18516.0,17371.0,13311.0,17677.0,9918.0,11293.0,9214.0,11088.0
49,5236,2044,6309,6834,1725,22148,radiant,26491.0,21413.0,22721.0,20725.0,24296.0,18152.0,16246.0,9240.0,13702.0,11850.0
50,4242,4423,3588,1120,2181,15554,radiant,28969.0,25035.0,21285.0,17072.0,19824.0,16203.0,10544.0,9637.0,10664.0,8396.0
51,9496,4910,1598,-208,936,16732,radiant,26197.0,17264.0,19550.0,14059.0,14824.0,13637.0,11660.0,12042.0,8639.0,7925.0
52,-2418,-874,-152,987,-1304,-3761,radiant,24333.0,26341.0,17807.0,18407.0,16169.0,16171.0,13076.0,11765.0,9645.0,10759.0
53,3507,-3056,2007,2453,2569,7480,radiant,23252.0,20275.0,15896.0,19140.0,15414.0,14126.0,12887.0,10699.0,11950.0,9618.0
54,-3393,884,-6605,5172,1722,-2220,dire,25015.0,27080.0,21885.0,20280.0,13250.0,18316.0,15420.0,9814.0,9971.0,8238.0
55,-9043,-7743,-121,549,-412,-16770,dire,21117.0,29962.0,15397.0,23161.0,15612.0,15705.0,10186.0,9958.0,8835.0,9346.0
56,-446,2278,-983,2372,811,4032,radiant,19095.0,20671.0,21898.0,19699.0,15517.0,16878.0,10661.0,8546.0,9679.0,9040.0
57,51,-3113,-1743,-3474,-2943,-11222,dire,19749.0,20393.0,15885.0,19625.0,16095.0,18158.0,8878.0,12728.0,7807.0,11056.0
58,-560,4083,3878,-1596,2447,8252,radiant,18934.0,19751.0,19761.0,15449.0,18493.0,15255.0,11140.0,13038.0,11900.0,9201.0
59,7185,-357,2154,-15,-2123,6844,radiant,26049.0,18494.0,18678.0,19959.0,18021.0,15971.0,10772.0,11246.0,9515.0,11628.0
60,-6433,-4706,-3384,-6666,-4101,-25290,dire,16392.0,22959.0,15444.0,20397.0,14797.0,17727.0,7605.0,13915.0,6206.0,10119.0
61,-1835,-1629,-4073,-2581,-1094,-11212,dire,22980.0,22189.0,17123.0,17325.0,12942.0,16025.0,8309.0,9862.0,7823.0,8379.0
62,-395,-993,-579,-7876,-16,-9859,radiant,20212.0,20438.0,18386.0,19248.0,16481.0,16248.0,8114.0,15996.0,10684.0,11016.0
63,2079,-1745,-921,-1968,1604,-951,radiant,27037.0,25124.0,15945.0,17093.0,15617.0,16607.0,9122.0,11204.0,9585.0,8045.0
64,8578,-9520,-1923,-224,-2607,-5696,dire,32876.0,24864.0,14819.0,23417.0,15847.0,17699.0,11379.0,11505.0,9204.0,11594.0
65,1473,-126,2941,-7097,-1553,-4362,radiant,19590.0,19533.0,21274.0,21974.0,20110.0,17419.0,9713.0,16590.0,9451.0,11435.0
66,1920,863,1695,2706,4009,11193,radiant,26627.0,24707.0,17986.0,18141.0,18577.0,17198.0,12677.0,10643.0,12098.0,8245.0
67,-2317,-5662,-4617,-3929,191,-16334,dire,17289.0,22871.0,17460.0,21795.0,15324.0,19026.0,10347.0,14184.0,7640.0,7868.0
