,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517376613,25,8,84,26,5,77,54,23,68,86,445,-1062,-315,-207,-455,-1594,15,dire,6218.0,6518.0,4927.0,6152.0,5912.0,5838.0,2194.0,1929.0,2351.0,1862.0
1,7517420109,80,70,23,63,100,2,25,17,45,110,-3138,-41,1095,-68,-170,-2322,15,radiant,5488.0,8993.0,6074.0,5595.0,6265.0,5204.0,2785.0,2617.0,2687.0,2725.0
2,7517437309,10,104,19,45,64,7,67,53,71,102,254,279,941,821,-766,1529,15,dire,6529.0,6505.0,5590.0,5427.0,5472.0,4355.0,2906.0,2682.0,2018.0,3057.0
3,7517480603,1,33,11,100,30,44,19,57,21,5,1572,1184,1554,-724,475,4061,15,radiant,6991.0,5330.0,6797.0,5521.0,6499.0,4850.0,2280.0,2588.0,2554.0,2374.0
4,7517522012,69,10,76,83,86,12,129,28,26,87,1493,863,273,605,527,3761,15,dire,8229.0,6412.0,7130.0,6698.0,6063.0,6035.0,4352.0,3338.0,3029.0,3160.0
5,7517581617,43,21,129,110,26,14,120,102,68,86,218,837,157,326,527,2065,15,dire,6502.0,6791.0,7073.0,6578.0,5920.0,5753.0,3682.0,2035.0,3365.0,2477.0
6,7517586007,46,42,97,50,86,22,29,71,14,26,593,-783,804,-2435,432,-1389,15,radiant,5927.0,5729.0,5871.0,6181.0,6504.0,5546.0,3873.0,6554.0,2637.0,2551.0
7,7517639708,48,51,61,5,26,69,6,39,114,84,-328,449,-68,-189,519,383,15,dire,7145.0,7167.0,5310.0,4740.0,5531.0,5445.0,3016.0,2562.0,2521.0,2244.0
8,7519064617,6,25,129,7,84,104,101,44,53,85,-275,-527,478,-298,-120,-742,15,radiant,6098.0,6290.0,5293.0,6265.0,5789.0,5174.0,2616.0,2961.0,2053.0,2328.0
9,7519118314,53,10,20,136,51,48,80,23,112,83,1175,1380,-587,177,205,2350,15,dire,5873.0,3886.0,6371.0,4693.0,5735.0,6330.0,3291.0,3058.0,2877.0,2720.0
