,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517376613,25,8,84,26,5,77,54,23,68,86,-1257,-1237,-1176,-2890,-1770,-8330,25,dire,12066.0,14138.0,10846.0,11711.0,9970.0,11089.0,5113.0,7455.0,4691.0,5662.0
1,7517420109,80,70,23,63,100,2,25,17,45,110,-3782,19,1698,-1079,-1634,-4778,25,radiant,12243.0,15684.0,14073.0,14404.0,13238.0,11324.0,5469.0,6245.0,5103.0,6386.0
2,7517437309,10,104,19,45,64,7,67,53,71,102,436,565,1438,-634,-1366,439,25,dire,14882.0,13936.0,11998.0,11800.0,11267.0,9692.0,6952.0,7221.0,5418.0,7086.0
3,7517480603,1,33,11,100,30,44,19,57,21,5,687,-897,-65,-1179,1498,44,25,radiant,15762.0,13553.0,12519.0,12701.0,11266.0,11405.0,6921.0,7835.0,5684.0,4852.0
4,7517522012,69,10,76,83,86,12,129,28,26,87,-1599,-1181,-642,-1162,-120,-4704,25,dire,15989.0,17984.0,12872.0,14159.0,11067.0,11943.0,8421.0,9374.0,6185.0,7011.0
5,7517581617,43,21,129,110,26,14,120,102,68,86,-5435,-2979,-2801,-2479,-2291,-15985,25,dire,11370.0,16975.0,12214.0,15407.0,11318.0,14159.0,6593.0,8421.0,6293.0,8300.0
6,7517586007,46,42,97,50,86,22,29,71,14,26,3055,20,-676,-3437,484,-554,25,radiant,15329.0,12366.0,11565.0,11501.0,10106.0,10852.0,7279.0,10603.0,6499.0,6118.0
7,7517639708,48,51,61,5,26,69,6,39,114,84,-3408,104,720,-1024,60,-3548,25,dire,15118.0,16816.0,13053.0,12672.0,11474.0,11150.0,6759.0,7399.0,6551.0,6766.0
8,7519064617,6,25,129,7,84,104,101,44,53,85,3915,2690,-562,-1592,-581,3870,25,radiant,15862.0,12822.0,13593.0,12852.0,10143.0,10995.0,6199.0,7972.0,4840.0,5526.0
9,7519118314,53,10,20,136,51,48,80,23,112,83,1057,1578,-2976,-1053,-777,-2171,25,dire,12039.0,11069.0,12260.0,10458.0,9535.0,12696.0,6044.0,6892.0,5563.0,6592.0
